NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	852.809	32.53	224.178	28.554	0.125	0.935	30000.0
2	849.211	32.538	224.561	28.538	0.129	0.936	20000.0
3	816.59	31.107	219.397	27.951	0.114	0.939	40000.0
4	816.046	31.005	219.666	27.826	0.112	0.94	20000.0
5	850.267	32.496	222.702	28.359	0.126	0.936	20000.0
6	855.099	32.759	224.871	28.698	0.128	0.935	40000.0
7	854.556	32.46	225.01	28.59	0.125	0.936	20000.0
8	817.226	30.724	221.995	27.887	0.111	0.941	40000.0
9	807.231	30.541	219.714	27.756	0.111	0.941	20000.0
10	807.492	30.799	219.327	27.846	0.114	0.939	20000.0
11	808.725	30.968	220.595	28.037	0.114	0.939	50000.0
12	803.319	30.557	215.675	27.66	0.113	0.941	30000.0
13	821.17	30.919	222.551	28.09	0.113	0.94	20000.0
14	813.45	31.099	218.987	27.88	0.114	0.94	40000.0
15	820.636	31.138	222.3	27.986	0.113	0.94	20000.0
16	824.109	31.241	221.424	28.03	0.114	0.939	30000.0
17	851.805	32.478	224.241	28.52	0.126	0.936	20000.0
18	859.204	32.804	226.13	28.716	0.127	0.935	40000.0
19	804.528	30.757	219.162	27.873	0.11	0.94	20000.0
20	812.736	31.146	219.562	28.058	0.115	0.939	20000.0
21	807.94	30.899	217.273	27.702	0.113	0.94	20000.0
22	856.851	32.678	225.234	28.552	0.125	0.936	30000.0
23	810.251	30.749	219.936	27.733	0.112	0.941	30000.0
24	825.998	31.385	222.21	28.286	0.116	0.938	20000.0
25	817.375	30.862	219.941	27.671	0.112	0.941	30000.0
26	817.644	30.976	219.813	27.963	0.113	0.939	20000.0
27	815.849	31.07	219.465	27.955	0.113	0.94	20000.0
28	855.902	32.479	223.989	28.506	0.122	0.937	20000.0
29	816.243	30.968	221.258	28.065	0.113	0.939	40000.0
30	815.316	30.76	220.996	27.886	0.11	0.94	20000.0
31	813.978	30.887	221.122	28.022	0.111	0.94	20000.0
32	817.014	31.02	221.135	27.962	0.113	0.94	20000.0
33	852.017	32.379	224.809	28.643	0.127	0.935	30000.0
34	800.989	30.779	217.368	27.826	0.113	0.939	30000.0
35	810.129	30.816	218.214	27.717	0.113	0.94	40000.0
36	804.778	30.544	217.722	27.66	0.112	0.941	20000.0
37	852.787	32.417	225.012	28.498	0.125	0.936	20000.0
38	811.686	30.821	220.546	27.939	0.11	0.939	30000.0
39	820.538	30.832	223.196	27.904	0.112	0.941	40000.0
40	809.112	30.654	218.461	27.683	0.113	0.941	20000.0
41	813.714	30.856	219.877	27.799	0.111	0.941	20000.0
42	822.265	31.17	221.588	28.04	0.114	0.94	40000.0
43	853.607	32.69	224.923	28.492	0.128	0.935	20000.0
44	809.612	30.892	218.927	27.898	0.113	0.94	20000.0
45	809.644	30.745	218.758	27.826	0.112	0.94	20000.0
46	818.443	31.087	219.703	27.987	0.113	0.94	20000.0
47	809.0	30.82	219.896	27.827	0.113	0.94	20000.0
48	852.759	32.662	224.178	28.556	0.129	0.935	20000.0
49	809.76	30.747	219.069	27.781	0.113	0.94	40000.0
50	808.681	30.88	217.671	27.798	0.113	0.94	20000.0
51	843.494	32.488	221.588	28.491	0.127	0.935	20000.0
52	810.274	30.819	217.32	27.647	0.112	0.941	20000.0
53	816.566	31.022	220.743	27.816	0.112	0.941	30000.0
54	814.829	30.776	218.96	27.784	0.112	0.94	20000.0
55	814.61	30.912	219.782	27.822	0.113	0.94	20000.0
56	817.571	31.09	220.546	28.03	0.112	0.94	50000.0
57	844.484	29.911	231.575	27.169	0.099	0.945	30000.0
58	813.574	30.929	220.334	27.974	0.113	0.94	50000.0
59	819.419	31.01	222.077	28.108	0.113	0.939	20000.0
60	816.168	31.102	219.519	27.823	0.113	0.94	40000.0
61	819.6	31.183	220.719	27.942	0.113	0.94	30000.0
62	808.75	30.601	218.374	27.623	0.112	0.941	20000.0
63	817.774	30.85	219.104	27.652	0.111	0.941	30000.0
64	821.78	31.041	222.262	28.026	0.113	0.939	30000.0
65	817.134	30.938	220.737	27.798	0.112	0.941	30000.0
66	820.897	31.432	223.352	28.497	0.116	0.937	20000.0
67	842.596	31.981	221.729	28.086	0.125	0.938	30000.0
68	817.322	30.867	219.858	27.752	0.113	0.94	30000.0
69	826.225	31.457	223.884	28.488	0.114	0.938	20000.0
70	804.788	30.701	216.812	27.621	0.112	0.941	20000.0
71	811.065	30.843	219.276	27.84	0.112	0.94	30000.0
72	806.513	30.371	218.985	27.533	0.109	0.942	30000.0
73	852.969	32.698	224.588	28.544	0.126	0.936	30000.0
74	818.243	31.365	221.275	28.253	0.114	0.938	20000.0
75	814.189	30.836	218.963	27.798	0.111	0.94	20000.0
76	825.516	31.361	222.097	28.132	0.113	0.939	30000.0
77	817.86	31.194	221.714	28.251	0.115	0.938	30000.0
78	813.093	30.819	219.575	27.863	0.112	0.94	30000.0
79	812.441	30.892	220.214	27.918	0.112	0.939	30000.0
80	846.552	32.367	223.062	28.398	0.126	0.936	40000.0
81	847.944	32.409	223.692	28.576	0.125	0.936	40000.0
82	817.219	31.167	220.291	28.081	0.112	0.938	20000.0
83	816.505	30.998	222.234	28.247	0.113	0.938	20000.0
84	823.768	31.257	221.251	28.088	0.112	0.94	20000.0
85	844.257	32.366	221.224	28.295	0.124	0.937	20000.0
86	815.096	30.84	220.114	27.629	0.112	0.941	30000.0
87	816.987	31.183	220.805	28.192	0.115	0.938	20000.0
88	821.152	31.028	221.039	28.032	0.112	0.94	20000.0
89	823.374	31.148	221.349	28.058	0.112	0.94	30000.0
90	818.053	31.25	222.17	28.394	0.115	0.938	30000.0
91	812.434	31.08	220.394	28.004	0.114	0.939	30000.0
92	813.814	30.877	220.357	27.737	0.113	0.942	40000.0
93	825.334	31.366	221.267	28.115	0.116	0.939	30000.0
94	810.067	30.95	219.58	28.053	0.114	0.939	30000.0
95	812.562	30.68	219.752	27.791	0.111	0.941	30000.0
96	808.052	30.416	217.048	27.501	0.113	0.942	30000.0
97	846.987	32.169	224.547	28.444	0.125	0.937	30000.0
98	826.318	31.396	223.152	28.289	0.114	0.938	20000.0
99	808.372	30.788	218.573	27.648	0.113	0.941	20000.0
100	808.214	30.703	219.676	27.819	0.111	0.94	30000.0
