MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J	CH43K	CH43L	CH43M
74.0	0.06429909704769272	0.030210606961045983	0.00828865079170555	0.035463725855806844	0.20970048889517784	0.1236094594374299	0.16818793788552283	0.020132812223770884	0.0048530778184073	0.020060513541102408	0.030595149896107614	0.13486477069556713	0.009038226438565857
133.0	0.0194644409088869	0.035993431745242936	0.0029888253519944705	0.01910233276698168	0.0034816554413698315	0.006578654269444697	0.005436412000248533	0.02588138458036521	0.2463421730697155	0.035855471617542205	0.014357170306652307	0.013142309417016804	0.0013222468423191459
83.0	0.029527799231000244	0.018335668952204287	0.009616294041043147	0.03620252806111239	0.0030962588623525134	0.011128155257902108	0.026180947799002752	0.046963724847882984	0.0009840650865226052	0.011105088788317516	0.003732812036250834	0.010631212224689079	0.03466435237554833
201.0	0.10769957575947046	0.09078662682324648	0.17218605563044548	0.06580155169708002	0.11330825490877032	0.13155913673341274	0.1098448296636343	0.07299304170534014	0.02232429940602743	0.08836351332371123	0.05163991114124656	0.1168092779070139	0.09795231490395992
48.0	0.00746237682615174	0.0010350336368355783	0.005191907516391438	0.0012998529110336676	0.013500240632565693	0.002135011356108407	0.0005851368789444678	0.0032623503587092275	0.001945361006182793	2.41114545880837e-19	0.0001638094533700496	0.003616082998059369	0.1457411274127662
32.0	0.0009466705980264583	0.00010787929477032776	0.004818698262406542	0.0001648049672257912	8.488753992423881e-05	0.0014665563609128184	0.000547603691520635	0.004193473940822741	0.006621520152204994	0.0015329914347651987	0.00017424137988484746	9.927195846103132e-05	0.19507232889533044
11.0	0.0018120471101201474	0.0035936589306270013	0.001525031079925583	0.006782855779410547	0.1220635361294262	7.811678881466832e-05	0.06476029773242771	2.8914330177940427e-05	0.0008182289506657981	0.0013387308825622312	0.0016575262448793636	0.002886565407383159	0.0007979198306566105
7.0	0.0025870811356435296	0.0021595369913666217	2.5454789865761997e-05	0.0048659612808842215	0.06388471929356455	0.000666721655748006	0.007520972539787181	0.006895562260469887	9.008905846251025e-05	0.00011926572195079643	0.0027960378804709764	0.0019052159506100536	0.0010721487741102464
4.0	0.008406289434060455	0.0007021864096168429	0.0027285479968122673	0.0017620851268293335	0.02466987734194845	0.00010508814142667688	0.0009950516534866206	0.0087827007798478	0.0004513062889007102	0.0015661345597436593	1.625023563974537e-05	0.018613908155821264	0.0006432362424675375
10.0	0.017367891447793226	0.0007595022076566238	0.005394298398314277	0.004344694233295741	0.0004910036960063735	0.00038952720038651025	0.00034071475894961625	0.0035551629725037726	0.0002487407710250977	0.0028887859654673775	0.0008334940793952228	0.034655689585488286	0.006591150774630902
4.0	0.002196717006881954	0.00017740154368880211	0.00034641554957488553	0.0010911598522216081	0.001119965735133519	0.002061096770921722	0.002405329290922964	0.0015467561958212174	0.0005049387166036469	0.0016977394579953398	0.0007224184483493446	0.00042392605502698187	0.0005849636647326407
3.0	0.0008387815042078728	0.0005233321860578169	0.0022718389028159435	0.00040888389608880973	0.00021839700268174055	0.0010337583278305828	0.002077113332525187	6.0312544701446316e-05	0.0	0.0005766348296128854	0.002763781740795821	0.00221071872045286	0.004903798847244616
7.0	0.005475794939471825	0.00020121130364131546	5.042813689215109e-05	0.0003490667707004036	0.0018241031176876278	0.0015309480304387488	0.09323099539149553	0.003084617847670188	2.02544794564119e-05	0.00030334350425505365	0.0	0.016128265001170802	3.4596835178900314e-05
4.0	0.017675899409223348	4.705042860052799e-05	0.0	0.00041988354176282884	0.000151778383878991	0.07561364120338533	0.0007019672699971124	5.293496215017512e-05	0.00044607635703869164	7.338073560219982e-05	0.016350818377686663	0.05614435210358351	9.76427923887968e-05
4.0	0.001047405977951712	0.004429677149664713	0.00011820954270660877	0.000996823525056243	0.0003280943723194696	0.049968483252450825	0.0016253164532827214	4.6777520121068505e-05	0.010496866450234848	0.00012171198759460821	0.0003677337887779686	0.00027961153944488614	0.0008232369592058679
2.0	0.0005207197149138665	0.00017622157839639386	0.00017018724119214568	0.00010058558771561366	0.0009520010095269526	0.00029355414835901427	0.00018916862534752	0.0007683480389393438	9.356629799320615e-05	0.00015008332353985633	1.333878447390191e-05	0.0003019755746003483	0.0
0.0	0.0008084012577741362	3.542017549989396e-05	0.0005411432231630897	0.0010319536873932215	0.0005807033900408953	0.0005811770189757226	0.0002318134937013383	0.00028334231612916485	8.252324696513825e-06	0.0002740048590022385	2.4868790248149253e-05	0.0008269111485586223	0.00010711972718127071
0.0	0.0001814422533425386	0.0002777262047311524	0.0011788350201095454	0.001192543851811223	0.0021388543382272474	0.0003142373297305312	0.0015558413926919457	4.9875705735757946e-06	5.126530886627734e-06	4.062883730512112e-05	0.00023350523143435	0.0003492512495586197	0.00022044990822905674
10.0	0.002024758968036622	0.0052674881026905495	2.9000507784076035e-05	0.00314040849043522	0.0032537055369175503	0.00012315121304709464	0.002969415391198709	0.0037136197390464074	2.684568513359409e-05	8.483282465022058e-05	0.0018742919732176234	0.002327319207070104	0.008820713431341574
34.0	0.014318018449121155	2.1537670412214994e-05	0.004173766758758575	0.0007532839967991123	0.0012977761789112207	9.458936334088008e-06	0.00046454959274320524	0.005828223762623568	2.144239292789507e-09	0.00034151199512152177	0.0028346597012189534	0.003569237580053368	0.0006883710306861701
1.13282575928935	0.00022156863456075372	0.0003174788773867476	8.802406500763027e-05	0.0008575056801419124	0.00028253192185548256	0.00017608259095140965	0.0002254014706159069	0.00023835304679550973	0.00027298047571093774	7.987699409568449e-05	0.003241772473556921	0.00022685747790092138	0.00047449590158066713
1.70029802282402	0.00032311283404851566	0.00024084650462072858	0.000347700744426902	0.0006633407243862166	0.00012271366554159613	0.0002269626143242931	0.00018864272776227152	0.0006082887690718053	0.0003221519923948983	0.00017245094819145378	0.0035459164925850926	0.00019546735646144953	0.0012659871045980252
0.0	0.00033012174542818685	8.937939378549587e-05	7.48162981912337e-05	0.004267824325585252	0.003938836656161584	0.0006722679591257474	0.000777305158044328	2.9743058896158913e-06	0.00010925738097292026	4.5007001026533545e-05	0.0	0.00045209452084236544	6.122608339993008e-05
139.0	0.01541505522075357	0.08642324667423963	0.23946830093860627	0.08032805251670659	0.06220861530026014	0.004367732279933989	0.025373696849106862	0.00673105677456884	0.002289509963302726	0.05254932638723403	0.0025298495412998828	0.004438353699441926	0.01147956376895485
