NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	402.044	15.398	103.035	13.263	0.036	0.986	60000.0
2	416.03	16.035	107.21	13.837	0.037	0.985	70000.0
3	406.932	15.599	106.174	13.629	0.037	0.985	20000.0
4	420.349	15.949	109.292	13.7	0.037	0.985	30000.0
5	435.286	16.196	115.523	14.253	0.036	0.985	70000.0
6	427.296	16.064	111.184	13.952	0.037	0.985	50000.0
7	421.61	15.899	111.132	13.722	0.036	0.986	50000.0
8	422.22	15.946	109.937	13.766	0.037	0.985	30000.0
9	432.095	16.361	114.116	14.357	0.038	0.984	50000.0
10	422.361	15.809	110.948	13.703	0.036	0.985	30000.0
11	427.168	16.023	111.721	13.908	0.037	0.985	50000.0
12	420.305	15.928	110.917	13.946	0.036	0.985	40000.0
13	407.383	14.861	105.415	12.912	0.034	0.987	40000.0
14	431.154	16.032	112.952	13.86	0.037	0.986	60000.0
15	424.707	16.298	112.114	14.226	0.038	0.984	40000.0
16	423.36	16.124	110.599	13.981	0.037	0.984	30000.0
17	401.859	15.18	103.019	13.028	0.036	0.986	60000.0
18	411.477	15.41	105.478	13.297	0.036	0.986	30000.0
19	418.208	15.843	108.425	13.706	0.037	0.985	40000.0
20	410.537	15.63	106.503	13.589	0.036	0.986	40000.0
21	412.962	15.55	107.625	13.511	0.035	0.986	20000.0
22	431.118	16.476	113.147	14.279	0.038	0.984	30000.0
23	419.045	15.849	108.576	13.757	0.037	0.985	40000.0
24	424.365	15.721	112.086	13.599	0.036	0.987	40000.0
25	410.857	15.534	108.328	13.57	0.036	0.985	40000.0
26	410.106	15.373	105.347	13.236	0.036	0.987	40000.0
27	426.978	16.21	114.09	14.184	0.038	0.984	50000.0
28	435.722	16.183	114.827	14.065	0.037	0.985	40000.0
29	415.941	15.802	107.656	13.62	0.037	0.985	30000.0
30	427.475	15.976	114.931	14.108	0.036	0.984	20000.0
31	427.024	16.203	112.883	14.136	0.037	0.985	20000.0
32	417.359	15.7	108.059	13.448	0.036	0.986	50000.0
33	417.312	15.389	108.539	13.403	0.035	0.986	50000.0
34	425.05	16.053	110.97	13.967	0.037	0.984	30000.0
35	413.029	15.704	107.177	13.594	0.036	0.985	30000.0
36	420.786	15.653	112.035	13.813	0.036	0.986	30000.0
37	409.52	15.536	106.149	13.429	0.036	0.986	40000.0
38	407.307	15.58	105.081	13.436	0.036	0.986	30000.0
39	419.404	16.09	110.668	14.025	0.037	0.984	50000.0
40	421.022	15.734	110.149	13.695	0.036	0.985	30000.0
41	430.013	16.177	114.193	14.318	0.036	0.984	80000.0
42	415.571	15.902	109.316	13.83	0.037	0.985	60000.0
43	415.505	15.759	109.885	13.841	0.036	0.984	40000.0
