NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	851.81	32.557	224.985	28.79	0.126	0.934	40000.0
2	813.807	30.918	220.095	27.975	0.113	0.939	20000.0
3	822.96	31.244	221.139	28.031	0.114	0.939	40000.0
4	818.021	30.96	221.002	27.906	0.113	0.94	30000.0
5	813.957	30.706	220.257	27.858	0.111	0.94	40000.0
6	814.601	30.538	223.048	27.867	0.11	0.941	40000.0
7	811.149	30.938	220.18	28.123	0.115	0.938	30000.0
8	816.725	30.827	222.335	27.928	0.113	0.94	30000.0
9	859.828	33.032	225.201	28.878	0.129	0.934	20000.0
10	857.112	32.706	225.694	28.675	0.127	0.935	30000.0
11	808.399	30.726	218.818	27.692	0.112	0.941	20000.0
12	818.296	30.98	221.871	28.071	0.112	0.94	30000.0
13	849.22	32.529	222.995	28.405	0.125	0.936	20000.0
14	849.683	32.401	222.623	28.419	0.125	0.936	20000.0
15	820.181	31.128	221.652	28.177	0.114	0.939	30000.0
16	807.148	30.641	217.388	27.702	0.111	0.941	20000.0
17	817.455	30.879	221.481	27.845	0.112	0.941	20000.0
18	814.351	30.673	220.74	27.861	0.112	0.941	30000.0
19	814.811	30.83	221.686	28.068	0.112	0.939	30000.0
20	818.72	31.178	220.801	28.032	0.114	0.939	20000.0
21	807.545	30.902	220.349	28.025	0.113	0.939	30000.0
22	811.435	30.776	219.253	27.735	0.112	0.941	50000.0
23	834.53	31.687	223.834	28.395	0.116	0.937	40000.0
24	805.716	30.786	217.741	27.817	0.113	0.94	20000.0
25	813.412	30.909	221.563	28.134	0.115	0.939	20000.0
26	814.397	31.016	219.986	27.962	0.112	0.94	30000.0
27	851.502	32.778	223.209	28.456	0.128	0.936	20000.0
28	820.392	31.005	222.615	28.058	0.111	0.94	30000.0
29	826.844	31.433	224.488	28.381	0.116	0.937	30000.0
30	809.906	30.703	219.096	27.624	0.112	0.941	30000.0
31	817.833	31.196	219.95	27.927	0.115	0.94	30000.0
32	809.03	30.653	217.852	27.596	0.112	0.942	30000.0
33	817.083	30.792	221.371	27.847	0.111	0.941	20000.0
34	820.671	31.13	221.839	28.183	0.116	0.939	20000.0
35	847.476	29.74	232.702	27.015	0.097	0.945	20000.0
36	840.046	31.869	221.025	28.193	0.122	0.937	60000.0
37	816.049	30.934	220.07	27.9	0.112	0.94	20000.0
38	861.378	32.724	226.606	28.735	0.123	0.936	20000.0
39	806.074	30.761	218.651	27.801	0.112	0.94	20000.0
40	813.066	30.712	221.186	27.815	0.112	0.941	40000.0
41	850.732	32.368	225.344	28.531	0.125	0.936	30000.0
42	812.001	30.888	217.927	27.688	0.113	0.941	20000.0
43	814.154	30.688	220.971	27.876	0.111	0.94	40000.0
44	814.883	31.084	220.784	28.073	0.113	0.939	30000.0
45	850.314	32.348	224.158	28.51	0.125	0.936	20000.0
46	826.635	31.375	222.609	28.115	0.114	0.94	40000.0
47	807.909	30.832	217.903	27.704	0.112	0.941	20000.0
48	821.073	31.354	220.782	28.08	0.115	0.939	30000.0
49	827.601	31.172	223.72	28.094	0.112	0.94	20000.0
50	816.289	30.913	219.641	27.901	0.112	0.94	20000.0
51	817.201	31.017	222.188	28.161	0.114	0.939	40000.0
52	823.707	31.231	222.259	28.187	0.114	0.939	30000.0
53	814.741	31.026	218.338	27.76	0.115	0.94	30000.0
54	813.692	30.735	221.621	27.855	0.11	0.941	20000.0
55	841.961	32.293	223.38	28.339	0.127	0.936	30000.0
56	823.129	31.332	221.067	28.06	0.115	0.939	20000.0
57	842.765	32.257	220.543	28.114	0.126	0.937	30000.0
58	812.861	30.95	219.795	27.967	0.116	0.939	30000.0
59	823.322	31.389	223.729	28.181	0.116	0.939	20000.0
60	818.342	31.361	221.987	28.185	0.114	0.94	20000.0
61	814.415	30.906	220.246	27.917	0.112	0.94	20000.0
62	808.954	30.684	219.617	27.733	0.112	0.941	20000.0
63	837.413	32.039	220.86	28.085	0.124	0.937	20000.0
64	823.786	31.166	221.339	28.059	0.114	0.939	20000.0
65	814.519	30.872	220.837	28.024	0.113	0.939	30000.0
66	821.645	31.426	222.047	28.145	0.114	0.939	30000.0
67	844.574	32.429	222.352	28.346	0.126	0.936	40000.0
68	806.245	30.811	217.391	27.739	0.114	0.941	30000.0
69	819.73	30.968	222.529	28.016	0.112	0.94	20000.0
70	813.28	30.973	219.02	27.925	0.113	0.939	20000.0
71	814.429	30.844	222.462	28.188	0.112	0.939	20000.0
72	816.565	31.032	220.334	27.918	0.114	0.94	30000.0
73	820.648	30.931	222.449	28.102	0.112	0.939	40000.0
74	816.628	31.199	220.204	28.139	0.116	0.938	20000.0
75	839.309	32.166	221.106	28.2	0.125	0.937	20000.0
76	808.451	30.733	218.886	27.768	0.112	0.94	20000.0
77	843.433	32.181	220.532	28.102	0.122	0.938	30000.0
78	815.907	31.016	220.62	28.153	0.115	0.939	40000.0
79	807.571	30.836	219.954	27.911	0.113	0.94	20000.0
80	818.094	31.057	223.027	28.199	0.113	0.939	20000.0
81	815.887	30.91	221.929	28.033	0.114	0.939	30000.0
82	830.561	31.558	225.335	28.497	0.115	0.937	20000.0
83	800.207	30.541	217.629	27.825	0.113	0.939	20000.0
84	810.786	30.9	220.122	27.826	0.114	0.94	20000.0
85	849.321	32.36	225.286	28.52	0.125	0.936	40000.0
86	849.992	32.361	222.996	28.212	0.124	0.938	30000.0
87	816.476	31.228	220.646	28.077	0.114	0.939	20000.0
88	820.057	31.093	224.001	28.187	0.113	0.939	40000.0
89	859.71	32.923	225.904	28.846	0.128	0.934	30000.0
90	822.398	31.266	219.222	27.928	0.113	0.94	30000.0
91	816.112	31.0	222.028	27.866	0.112	0.941	30000.0
92	811.811	30.905	217.793	27.672	0.112	0.94	20000.0
93	852.568	32.436	225.54	28.587	0.126	0.935	30000.0
94	814.638	30.932	221.615	28.031	0.112	0.94	20000.0
95	809.786	30.687	218.166	27.694	0.112	0.941	20000.0
96	820.192	31.175	220.213	27.914	0.114	0.94	40000.0
97	842.635	32.237	222.761	28.47	0.126	0.936	20000.0
98	811.986	31.259	218.394	28.163	0.115	0.937	30000.0
99	822.484	31.187	220.219	27.938	0.113	0.94	20000.0
100	812.01	30.963	219.41	28.046	0.114	0.939	30000.0
