MutationType	CH43A	CH43B
74.0	0.045639050118625166	0.08831734783947467
133.0	0.05162915490567684	0.01317582868039608
83.0	0.018278823513537646	0.017404160099104046
201.0	0.08411405295133591	0.11183729335665703
48.0	0.008102512825280428	0.00658828945364803
32.0	0.011464007617905735	0.003327772980555892
11.0	4.57567914284717e-05	0.0335094060190022
7.0	0.0007026583720289636	0.014386125952005386
4.0	0.0024696480948477985	0.00743064605165273
10.0	0.006121925171464681	0.002826168651226908
4.0	0.001098811431438662	0.0011100934265414254
3.0	0.0010632000566693023	0.00113000514684245
7.0	0.0022929354836124104	0.017365470947697758
4.0	0.021220789467915894	0.0037443825509399175
4.0	0.010289731558877975	0.0014504895653226412
2.0	0.00021817146098662476	0.0003847930356278084
0.0	0.0003399230482318671	0.0005073603556957095
0.0	9.226724222038573e-05	0.0011892098787939175
10.0	0.0019241562974639237	0.002669650746975094
34.0	0.002259710670914501	0.0020819350879173726
1.13282575928935	0.0005349007297036223	0.0003454194363439456
1.70029802282402	0.0006725049710075837	0.0003323141354485415
0.0	0.00024832361850712914	0.0015860016597434878
139.0	0.020277212858200073	0.08433035623282194
210.0	0.08617967680096626	0.058490908481180666
343.0	0.1494074408710003	0.11626294642686844
29.0	0.01660051583588489	0.004831402195240732
70.0	0.025182730266824365	0.010273395897820592
28.0	0.010709457723423839	0.012861593244597316
3.0	0.0035095898231085523	0.00367347571416758
3.0	0.00016989377228128434	0.0004853063597693108
407.0	0.12487184181809426	0.09199371188879013
34.0	0.013874176573008299	0.01507560035213828
4.0	0.003474669161951169	0.0058779755048453805
9.0	0.004353027677570936	0.0015578902837296482
13.0	0.0066215108320405135	0.0019454278743459752
18.0	0.005327186498325318	0.004149367490317673
6.0	0.0030577477397421937	0.003561810451792553
172.0	0.031844781935215	0.033827881440520284
330.0	0.1455628517270088	0.1610192473232746
106.0	0.05555469933897257	0.04913389092311263
63.0	0.019248732700943946	0.007637147555884667
17.0	0.003349239262752235	0.00031049258385040357
