"EOC1003_p2Ome1_TR_DNA"	"EOC1003_p2OvaL1_TR_DNA"	"EOC1003_p2OvaR1_DNA1"	"EOC1022_pOme1_DNA1"	"EOC1022_pPer1_DNA1"	"EOC1067_pOme1_DNA3"	"EOC1067_pOvaR1_DNA1"	"EOC1067_pPerR1_DNA1"	"EOC1067_pTubL1_DNA1"	"EOC1091_pOme1_TR_DNA"	"EOC1091_pOvaR1_TR_DNA"	"EOC124_pOvaL1_TR_DNA1"	"EOC124_pOvaR1_TR"	"EOC133_pAsc1_DNA1"	"EOC133_pOme1_TR_DNA"	"EOC133_pOvaL1_DNA1"	"EOC148_pAdnL1_DNA1"	"EOC148_pAdnL3_DNA1"	"EOC148_pOvaL4_DNA1"	"EOC148_pOvaL5_DNA1"	"EOC192_iOme1B_DNA2"	"EOC192_iOme3A_DNA1"	"EOC192_iOvaR1A_DNA1"	"EOC192_pAsc1_DNA1"	"EOC192_pOme1A_TR_DNA1"	"EOC192_pOme2B_DNA2"	"EOC192_pOvaR1A_DNA1"	"EOC192_pOvaR1A_DNA3"	"EOC192_pPer1A_DNA2"	"EOC192_pPer2B_DNA1"	"EOC293_pAdnL1_DNA1"	"EOC293_pMes1_DNA2"	"EOC293_pOvaR1_DNA2"	"EOC372_iOme1_DNA1"	"EOC372_iPer1_DNA1"	"EOC372_pPer1_DNA1"	"EOC523_pOme1_DNA2"	"EOC523_pOvaR1_DNA2"	"EOC561_pPer1_DNA1"	"EOC561_pPer1_DNA1_bgiseq"	"EOC63_pOme1_DNA1"	"EOC63_pOvaR1_DNA1"	"EOC667_pMes1_DNA1"	"EOC667_pOme1_DNA2"	"EOC77_iOme1_DNA1"	"EOC77_iOme2_DNA1"	"EOC77_iPer1_DNA2"	"EOC77_pAsc1_DNA1"	"EOC77_pOme1_DNA3"	"EOC779_pOme1_DNA1"	"EOC779_pOvaL1_DNA1"	"EOC779_pPer1_DNA1"	"EOC863_pMes1_DNA1"	"EOC863_pOva1_DNA1"	"EOC879_p2Ome1_DNA1"	"EOC879_p2OvaL1_DNA1"	"EOC879_p2TubL1_DNA1"	"EOC914_iOme1_DNA1"	"EOC914_iOvaL1_DNA1"	"EOC914_iPer1_DNA1"	"EOC984_pOme1_DNA1"	"EOC984_pPer1_DNA1"
"del_magnitude"	1.13282575928935	1.11649976848693	1.14839594787163	1.46973289666634	1.44482333071544	1.50603320420679	1.18368915820126	1.333790039843	1.2288134560434	1.2236608394248	1.21591016009561	1.59484242618017	1.42256502737593	1.33443226813077	1.38094348279069	1.33995623989492	1.29703972872968	1.32797412620594	1.45252313835005	1.42769883305512	1.36662331797059	1.34094830714203	1.5282953429875	1.22292555182201	1.42364065073391	1.53041036256728	1.51825774630073	1.51441733757235	1.3528097898891	1.10317577971524	1.1835322906379	1.18964321131551	1.17932604781416	1.35973380467891	1.38574259289311	1.36772478012532	1.03048498101272	1.05412239952188	1.09537962666015	1.09501300298801	1.55303378453555	1.49662863401962	1.46871153506613	1.57816465325007	1.14724945452495	1.13698719235284	1.11941721685271	1.1345308957215	1.07834928414536	1.8287472822383	1.63555377836394	1.71484909112811	1.07691013208777	1.05860951258936	1.23122809137052	1.22117376272998	1.22621308885518	1.33027033178212	1.27974542911174	1.30800615109333	1.58289865063872	1.57467302575674
"dup_magnitude"	1.70029802282402	1.69464605668368	1.80066854684541	1.41404359208816	1.38200454872844	1.37538989804124	1.47568192163041	1.44132901479562	1.5752405918829	1.66530436571942	1.74672440325802	1.51661296844505	1.33690504337975	1.53767566919768	1.52738150458643	1.5804271335245	1.54225688039694	1.52025793434161	1.42417029389527	1.45565101782082	1.48489192383534	1.46966051641694	1.53218176250346	1.48170811948701	1.48147873088825	1.47376104674439	1.53109999374082	1.53441723342453	1.54589035410868	1.89098315324781	1.51035051091775	1.4974363815483	1.48217387689817	1.49966703815508	1.53305778156851	1.51514495334547	2.05173030276798	1.98845340566728	1.59440053951815	1.58165162812796	1.46848652077463	1.47077635693057	1.45476820788337	1.47498427513861	1.337947872856	1.34786069367407	1.45575639815554	1.50751669155959	1.35525670306668	1.16420542225606	1.23311126569677	1.15834853530462	2.26404283387597	2.21810278482865	1.63690660359121	1.5739253347176	1.50976910663188	1.51798335613544	1.48857417113723	1.46931958955626	1.17640937376175	1.19009263324635
"chrtps"	0	0	0	0	0	0	3	0	0	0	1	7	5	11	10	11	3	2	4	4	0	0	1	0	0	0	0	1	0	1	3	2	4	7	2	1	1	0	4	4	5	2	9	11	0	0	1	0	1	7	11	9	0	0	1	2	1	4	3	2	4	3
"segsize1"	133	117	82	27	57	68	112	40	60	109	84	264	250	306	254	275	513	478	317	422	9	6	33	14	23	25	27	29	34	50	115	79	81	221	111	142	304	285	181	128	1084	214	288	250	44	49	59	17	27	172	461	319	65	131	102	143	140	110	91	86	50	49
"segsize2"	209	231	179	38	79	107	278	109	216	295	248	321	226	147	139	133	530	491	356	478	14	18	37	33	40	43	36	37	56	97	454	467	378	271	151	213	113	95	338	263	1011	240	346	309	83	69	84	60	88	53	135	109	180	318	283	697	604	362	358	342	64	63
"segsize3"	350	363	250	145	204	255	482	243	298	421	349	553	533	449	424	412	798	766	661	773	133	138	160	165	157	165	155	155	178	189	988	1053	947	533	367	444	196	185	794	771	1317	514	636	573	203	185	213	184	201	294	558	449	265	314	398	737	675	458	445	449	163	167
"fiveMB1"	2	4	4	0	1	2	10	2	6	8	7	11	5	4	2	5	34	26	18	31	0	0	0	0	0	0	0	0	1	0	31	30	21	8	4	4	3	3	16	11	80	6	13	10	0	1	2	0	2	0	11	3	6	11	5	21	14	12	11	10	0	0
"fiveMB2"	28	29	44	63	44	41	13	47	39	24	31	9	8	12	13	13	5	5	7	6	70	72	64	48	62	57	64	67	58	52	4	5	5	10	22	15	52	59	7	7	4	8	8	7	41	49	45	57	56	21	3	10	58	39	28	10	10	12	10	14	51	52
"fiveMB3"	27	28	11	5	12	20	37	17	19	33	22	70	66	52	50	46	64	72	71	68	2	4	8	5	6	7	7	9	8	10	66	73	75	64	34	53	10	7	70	71	37	64	72	64	10	9	14	9	9	29	70	60	15	17	39	69	72	40	35	40	10	12
"fiveMB4"	2	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0
"fiveMB5"	74	72	73	64	76	70	72	67	68	68	71	43	54	63	66	69	28	29	37	28	61	57	61	80	64	69	62	57	66	71	32	25	32	51	73	60	67	63	40	44	6	55	40	52	81	74	72	67	65	83	49	61	52	64	60	33	36	69	76	68	72	68
"osc1"	407	425	308	75	107	144	317	177	296	444	395	339	460	343	356	263	842	737	551	670	58	58	75	71	68	73	67	61	112	153	575	826	520	421	329	405	296	278	493	415	1462	479	413	278	167	162	114	100	92	179	217	211	339	388	367	798	756	464	499	478	95	87
"osc2"	31	29	18	9	16	30	45	15	32	37	37	70	59	35	36	42	100	109	84	96	7	6	6	11	8	10	7	9	11	12	83	77	77	60	23	47	33	20	71	56	179	40	76	67	7	11	22	10	9	17	32	32	10	36	54	82	78	47	42	37	9	10
"osc3"	5	8	5	0	4	7	18	4	4	11	7	28	11	19	14	14	33	32	25	31	1	1	2	4	2	4	2	1	1	2	36	33	41	17	3	8	9	7	35	34	74	8	28	34	3	0	8	3	6	17	17	18	5	12	9	19	17	15	11	14	6	7
"osc4"	2	0	0	0	2	2	10	1	1	4	3	16	1	13	6	14	6	6	5	10	0	0	3	1	2	2	2	3	2	2	21	13	14	5	2	0	1	6	17	16	37	2	16	17	0	1	0	1	3	2	37	23	1	3	2	3	1	5	2	3	1	1
"bpArm1"	15	16	25	37	26	18	8	22	16	17	23	7	8	8	8	10	6	5	5	5	35	37	30	31	30	29	32	31	28	27	5	5	5	6	15	9	26	27	6	6	5	9	6	9	24	25	21	28	26	13	6	7	27	17	11	5	7	11	8	10	23	25
"bpArm2"	14	10	11	7	15	16	12	14	13	12	10	8	6	13	14	12	1	2	8	6	11	9	14	14	14	15	11	12	14	14	6	6	8	10	13	13	15	16	6	6	0	11	6	5	16	16	20	14	16	18	6	11	5	13	15	6	4	11	16	13	19	17
"bpArm3"	14	17	7	2	4	12	16	10	14	8	6	16	22	17	19	17	19	20	16	13	0	0	2	1	2	2	3	3	4	4	13	10	13	18	12	18	3	0	16	17	4	16	19	18	6	5	5	4	3	14	20	22	12	11	13	12	18	11	11	11	4	4
"bpArm4"	3	3	3	0	1	0	10	0	3	9	7	15	10	8	5	7	20	19	17	22	0	0	0	0	0	0	0	0	0	1	22	25	20	12	6	6	2	3	18	17	37	10	15	14	0	0	0	0	1	1	14	6	2	5	7	23	17	13	11	12	0	0
"chg1"	176	174	92	32	37	29	67	42	106	67	207	105	165	142	138	94	176	121	115	122	28	34	45	55	37	43	39	33	87	39	84	234	93	82	37	75	100	102	181	100	983	70	215	98	51	93	67	49	55	57	143	93	58	92	78	92	104	142	197	130	60	58
"chg2"	321	335	197	30	159	286	627	211	292	326	351	844	515	574	475	528	1011	1008	636	955	96	95	156	129	152	148	146	156	154	110	1223	1077	1068	548	244	359	382	300	938	870	2202	205	933	895	119	176	246	164	226	282	902	600	178	402	457	641	538	509	430	465	186	189
"chg3"	107	116	118	114	110	69	106	70	98	314	86	168	285	123	139	138	538	498	473	473	10	13	5	5	6	17	8	9	4	127	235	303	228	296	241	266	86	115	158	165	206	497	108	118	123	11	17	26	14	141	82	152	130	128	155	612	590	157	160	170	10	9
"chg4"	66	61	76	12	12	27	36	43	51	95	16	14	29	38	42	37	117	105	112	108	3	3	3	4	3	4	3	5	3	39	27	46	26	74	99	95	27	31	23	26	13	189	2	4	20	2	4	3	2	21	9	19	119	107	66	182	144	95	83	97	1	3
"chg5"	18	17	16	0	0	2	22	5	9	22	13	2	4	7	8	6	6	2	5	11	0	0	0	0	0	0	0	0	0	6	1	1	1	14	9	8	3	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	22	18	27	38	40	22	9	8	0	0
