NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	708.203	28.708	182.395	25.161	0.105	0.948	20000.0
2	691.272	24.131	192.143	22.31	0.067	0.961	40000.0
3	702.852	24.603	194.815	22.603	0.069	0.96	30000.0
4	644.924	24.46	169.459	21.833	0.077	0.964	20000.0
5	648.415	24.576	171.316	22.121	0.076	0.962	50000.0
6	699.444	24.263	196.717	22.677	0.069	0.961	40000.0
7	697.099	24.368	193.863	22.445	0.068	0.961	20000.0
8	702.204	24.565	194.651	22.603	0.07	0.961	20000.0
9	700.13	24.528	193.671	22.588	0.069	0.961	20000.0
10	699.793	24.191	193.216	22.129	0.068	0.963	30000.0
11	645.464	24.444	170.003	22.002	0.077	0.962	20000.0
12	695.337	24.363	193.919	22.553	0.068	0.961	30000.0
13	645.699	24.398	171.055	22.008	0.075	0.963	50000.0
14	686.37	24.047	189.778	22.041	0.068	0.962	20000.0
15	658.985	24.937	174.462	22.604	0.078	0.961	20000.0
16	687.931	24.236	191.042	22.434	0.068	0.961	80000.0
17	646.684	24.689	169.563	22.054	0.079	0.963	30000.0
18	659.045	25.079	172.361	22.363	0.078	0.962	20000.0
19	698.319	24.31	194.262	22.503	0.069	0.961	40000.0
20	697.604	24.341	193.622	22.506	0.068	0.961	40000.0
21	651.238	24.633	174.048	22.319	0.076	0.962	30000.0
22	651.223	24.629	171.884	22.142	0.077	0.962	20000.0
23	663.557	24.824	175.526	22.38	0.077	0.961	30000.0
24	700.117	28.673	178.792	24.792	0.105	0.95	50000.0
25	690.794	24.038	193.108	22.186	0.068	0.962	20000.0
26	648.116	24.733	171.789	22.24	0.076	0.963	30000.0
27	647.62	24.575	171.333	22.092	0.077	0.963	40000.0
28	653.692	24.908	172.025	22.286	0.077	0.962	30000.0
29	698.964	24.372	195.672	22.49	0.07	0.961	30000.0
30	689.278	24.119	191.771	22.167	0.068	0.962	20000.0
31	658.821	24.787	173.901	22.223	0.076	0.962	30000.0
32	639.678	24.283	166.914	21.574	0.076	0.965	20000.0
33	700.096	24.131	193.642	22.072	0.067	0.963	30000.0
34	647.954	24.69	170.778	22.312	0.079	0.962	20000.0
35	697.127	24.362	194.433	22.438	0.068	0.962	30000.0
36	681.297	23.933	189.541	22.169	0.067	0.962	20000.0
37	696.045	24.315	192.495	22.272	0.069	0.962	30000.0
38	699.25	24.287	194.672	22.483	0.067	0.962	30000.0
39	686.178	24.01	191.652	22.25	0.069	0.961	50000.0
40	641.999	24.35	168.965	21.873	0.075	0.964	50000.0
41	696.633	24.193	193.838	22.179	0.067	0.963	40000.0
42	648.578	24.363	170.969	21.875	0.075	0.963	60000.0
43	702.831	24.262	194.023	22.261	0.068	0.962	30000.0
44	692.474	24.185	191.341	22.121	0.067	0.962	20000.0
45	696.987	24.287	193.322	22.429	0.068	0.961	30000.0
46	703.06	24.533	195.353	22.527	0.07	0.961	30000.0
47	647.412	24.293	170.752	21.768	0.075	0.964	20000.0
48	696.622	24.437	193.222	22.575	0.07	0.961	80000.0
49	703.188	24.451	196.524	22.556	0.069	0.961	30000.0
50	690.503	23.916	190.534	22.018	0.068	0.962	20000.0
51	703.489	24.719	196.186	22.925	0.071	0.96	20000.0
52	695.846	24.255	193.985	22.346	0.069	0.961	20000.0
53	646.367	24.679	170.663	22.145	0.079	0.962	40000.0
54	698.254	24.289	194.473	22.439	0.068	0.961	20000.0
55	700.395	24.627	194.16	22.514	0.07	0.961	30000.0
56	657.964	24.761	174.418	22.353	0.077	0.962	20000.0
57	690.668	24.03	191.746	22.18	0.068	0.961	30000.0
58	693.247	24.126	192.251	22.183	0.069	0.962	30000.0
59	706.297	24.665	196.547	22.547	0.07	0.961	20000.0
60	644.651	24.505	170.84	22.077	0.076	0.963	20000.0
61	644.114	24.421	169.909	22.028	0.077	0.963	20000.0
62	649.64	24.143	170.9	21.681	0.074	0.963	30000.0
63	691.071	24.26	191.642	22.266	0.068	0.961	40000.0
64	695.94	24.045	192.923	22.282	0.067	0.962	40000.0
65	650.23	24.692	173.067	22.484	0.077	0.962	50000.0
66	699.953	24.428	193.865	22.306	0.068	0.962	40000.0
67	693.468	28.623	178.183	24.73	0.108	0.949	30000.0
68	679.874	23.734	189.606	21.984	0.068	0.963	40000.0
69	708.766	28.825	181.798	25.092	0.106	0.948	70000.0
70	654.42	24.7	172.327	22.314	0.078	0.961	50000.0
71	655.679	25.015	174.334	22.695	0.079	0.961	20000.0
72	643.418	24.63	168.64	21.935	0.078	0.963	20000.0
73	698.46	24.307	193.726	22.481	0.069	0.961	40000.0
74	689.857	24.268	192.456	22.34	0.069	0.961	20000.0
75	650.303	24.711	170.217	22.041	0.076	0.963	20000.0
