NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	530.764	20.224	142.295	18.114	0.052	0.974	40000.0
2	528.565	20.239	141.113	18.027	0.051	0.974	30000.0
3	538.115	20.577	145.449	18.475	0.053	0.972	20000.0
4	535.306	20.258	145.355	18.184	0.052	0.974	30000.0
5	537.199	20.364	145.992	18.504	0.052	0.972	30000.0
6	535.284	20.299	144.422	18.29	0.052	0.973	40000.0
7	545.003	20.577	146.486	18.392	0.052	0.973	20000.0
8	541.529	20.841	146.168	18.663	0.055	0.972	20000.0
9	546.164	20.696	146.04	18.522	0.052	0.973	20000.0
10	539.487	20.336	145.398	18.193	0.052	0.973	20000.0
11	534.521	20.161	144.702	18.167	0.052	0.974	30000.0
12	538.963	20.482	146.098	18.519	0.052	0.973	40000.0
13	535.133	20.321	144.423	18.211	0.052	0.973	20000.0
14	530.786	20.264	143.056	18.166	0.053	0.974	30000.0
15	542.29	20.814	147.064	18.764	0.054	0.972	30000.0
16	534.103	20.362	144.396	18.317	0.052	0.973	20000.0
17	535.417	20.519	143.267	18.2	0.053	0.973	40000.0
18	548.639	20.57	147.617	18.61	0.053	0.973	20000.0
19	535.656	20.253	143.906	18.235	0.052	0.973	20000.0
20	534.266	20.298	145.01	18.35	0.052	0.973	30000.0
21	541.425	20.543	148.817	18.761	0.053	0.972	30000.0
22	540.673	20.626	145.946	18.479	0.053	0.973	30000.0
23	547.747	20.597	147.97	18.559	0.053	0.972	40000.0
24	529.076	20.008	142.109	17.966	0.051	0.975	20000.0
25	525.214	20.077	143.508	18.154	0.052	0.974	20000.0
26	532.625	20.397	144.097	18.291	0.052	0.974	20000.0
27	532.295	20.277	144.631	18.321	0.053	0.973	20000.0
28	540.911	20.44	145.114	18.316	0.052	0.974	40000.0
29	538.938	20.482	145.901	18.491	0.054	0.973	30000.0
30	532.658	20.233	143.502	18.075	0.052	0.974	20000.0
31	542.24	20.612	146.888	18.574	0.053	0.973	20000.0
32	527.165	19.871	142.144	17.889	0.052	0.975	30000.0
33	541.248	20.303	147.28	18.295	0.052	0.973	40000.0
34	530.451	20.172	143.125	18.162	0.053	0.973	30000.0
35	533.973	20.272	142.179	18.041	0.052	0.974	20000.0
36	518.779	19.881	141.274	18.068	0.051	0.973	20000.0
37	533.382	20.227	144.188	18.116	0.053	0.974	20000.0
38	531.879	20.245	143.135	18.216	0.051	0.974	20000.0
39	534.268	20.526	144.514	18.509	0.053	0.972	20000.0
40	532.789	20.156	143.669	18.125	0.052	0.974	40000.0
41	548.226	20.68	148.114	18.528	0.051	0.973	20000.0
42	532.22	20.356	144.28	18.391	0.053	0.973	40000.0
43	541.278	20.386	146.257	18.329	0.052	0.973	30000.0
44	532.72	20.163	143.992	18.215	0.051	0.973	30000.0
45	536.015	20.435	144.905	18.378	0.053	0.973	30000.0
46	539.291	20.546	145.559	18.472	0.053	0.973	30000.0
47	535.179	20.264	143.589	18.088	0.053	0.974	20000.0
48	532.881	20.546	145.128	18.57	0.053	0.972	40000.0
49	542.523	20.447	148.092	18.436	0.053	0.973	20000.0
50	544.645	20.433	145.775	18.325	0.052	0.973	20000.0
51	546.84	20.793	147.656	18.777	0.054	0.972	20000.0
52	533.829	20.309	145.348	18.332	0.053	0.973	40000.0
53	534.975	20.274	144.372	18.193	0.053	0.973	50000.0
54	538.645	20.353	146.632	18.264	0.052	0.974	20000.0
55	545.172	20.617	147.946	18.651	0.053	0.972	20000.0
56	547.718	20.678	148.823	18.727	0.052	0.972	20000.0
57	530.035	20.008	143.916	18.079	0.052	0.973	50000.0
58	537.33	20.32	144.482	18.301	0.053	0.973	40000.0
59	545.672	20.778	146.413	18.503	0.054	0.973	30000.0
60	535.281	20.488	145.105	18.475	0.053	0.973	20000.0
61	534.469	20.219	144.585	18.175	0.052	0.973	20000.0
62	533.921	20.107	142.917	17.925	0.052	0.974	30000.0
63	534.233	20.484	144.73	18.332	0.052	0.973	60000.0
64	536.947	20.233	146.521	18.43	0.052	0.973	40000.0
65	542.055	20.747	146.183	18.645	0.054	0.972	30000.0
66	544.095	20.591	146.624	18.436	0.053	0.973	20000.0
67	531.109	20.216	143.013	18.115	0.052	0.974	50000.0
68	525.283	20.062	141.413	18.002	0.052	0.974	20000.0
69	539.775	20.549	145.674	18.481	0.052	0.973	30000.0
70	542.507	20.526	146.415	18.51	0.053	0.972	50000.0
71	547.044	20.762	148.971	18.853	0.053	0.972	20000.0
72	539.228	20.667	144.359	18.379	0.053	0.973	30000.0
73	538.961	20.501	146.146	18.513	0.053	0.973	20000.0
74	534.226	20.541	142.984	18.241	0.054	0.973	20000.0
75	540.507	20.442	145.631	18.399	0.051	0.973	20000.0
76	536.115	20.357	143.462	18.226	0.052	0.973	20000.0
77	534.501	20.438	144.934	18.404	0.051	0.973	40000.0
78	544.36	20.584	146.408	18.543	0.053	0.973	60000.0
79	539.375	20.708	145.868	18.554	0.054	0.973	20000.0
80	541.549	20.789	145.773	18.711	0.054	0.972	20000.0
81	534.315	20.279	144.118	18.193	0.053	0.974	30000.0
82	541.057	20.585	145.167	18.362	0.053	0.973	20000.0
83	515.436	19.639	140.273	17.871	0.051	0.974	70000.0
84	532.031	20.274	143.466	18.192	0.052	0.974	30000.0
85	539.978	20.397	147.548	18.481	0.052	0.973	20000.0
86	539.012	20.363	144.779	18.143	0.052	0.974	60000.0
87	531.247	20.102	143.119	18.081	0.051	0.974	70000.0
88	544.027	20.774	147.122	18.643	0.053	0.972	30000.0
89	544.222	20.632	146.596	18.513	0.053	0.973	30000.0
90	531.093	20.227	144.0	18.28	0.051	0.973	20000.0
91	535.225	20.157	146.471	18.317	0.053	0.973	30000.0
92	532.378	20.069	142.273	17.82	0.052	0.974	20000.0
93	539.817	20.629	145.485	18.533	0.053	0.972	20000.0
94	524.253	19.971	142.425	18.005	0.051	0.974	30000.0
95	531.547	20.161	142.215	18.023	0.051	0.974	20000.0
96	546.061	20.589	147.756	18.603	0.054	0.973	40000.0
97	542.106	20.533	146.683	18.457	0.053	0.973	30000.0
98	542.165	20.612	145.599	18.576	0.052	0.972	30000.0
99	542.311	20.491	146.377	18.417	0.052	0.973	40000.0
100	539.414	20.665	147.413	18.773	0.053	0.972	30000.0
