MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J	CH43K
74.0	0.009324951418993865	0.13235900200903417	0.06436478703049943	0.029220412746145712	0.03419750433182344	0.1500580607354641	0.19152414426207542	0.0077222847258963155	0.03702257801778615	0.030145201841369273	0.0229739434143994
133.0	0.0019933087518438698	0.003224021284922285	0.01715628613019362	0.0403367346059531	0.0281353011463921	0.0026869263936581144	0.0030498950416866445	0.21287707403302192	0.04453087339643389	0.01756942162843188	0.0020462311804294586
83.0	0.011646790279773995	0.005701711898582294	0.028667562087066473	0.018706327308900653	0.04572970352135599	0.02861094543710351	0.006340626770397768	0.0027466109496890566	0.006866999297344591	0.005049120809999295	0.03276565063744783
201.0	0.17127042390406133	0.12209281794726849	0.08643062923103571	0.09288147818297147	0.08161674441769719	0.10529008217155933	0.09409250562079251	0.034625182746676725	0.0908093282300979	0.0480053542740643	0.09170049723237753
48.0	0.013073142755613842	0.0017514830355253252	0.00191113946095669	0.0010927515654371109	0.006762148987036198	0.0008603425120222852	0.009975187232485156	0.0022305785691944767	0.0029992997544183064	0.0016933604312816897	0.0890586286317557
32.0	0.011082568834053745	0.000914643550881209	0.0010597934846543922	0.00037684613253514255	0.005707026523305539	0.00022114074934123095	0.0	0.005229804189730203	0.005443378902732547	0.0028406250580697155	0.11989464890444651
11.0	0.001843216120814838	0.0005278420448303222	0.001452593259746209	0.003751250057909772	0.0	0.05443746067583561	0.11005787953734397	0.0004316186861251481	0.0036101897319895217	0.001527414647178373	0.000832553363579791
7.0	0.0006459425389766693	0.0011422724461044708	0.0019004676030754527	0.0023404965904774153	0.005158338492983603	0.007673184987183006	0.05854538904502988	9.452233633055584e-05	0.0010986695969404537	0.002687208762404225	0.0010594898411363828
4.0	0.003081284007312206	0.00887286065837543	0.000861259360681288	0.0004253319061353977	0.012525753839872915	0.0016814146378082624	0.022779711571056394	0.0003290653473959537	0.003472054066078272	5.068447528174147e-05	0.00051122051452694
10.0	0.004753618469112553	0.014852078850526595	0.003928851210366702	0.0007374113076366485	0.01531408099574037	0.0008376228227825777	0.0007926104565922288	1.4474372001131997e-05	0.004667921468960112	0.003198359609232284	0.003852572541800341
4.0	0.0006462758867473895	0.0006974309726501815	0.0015581868308072444	0.00015609944250172703	0.0017150604726339225	0.0023390152549836785	0.0008186200464842841	0.0008579810303126578	0.0016924572568677832	0.0007554892289954296	0.0007516070445126389
3.0	0.0020189731852224215	0.001982165491790511	0.00048403001248516377	0.0005396121095270701	0.00021004921934945743	0.0020072080935642587	0.00017577751694261679	7.5179686973569915e-06	0.0007029879125730076	0.002879349333816208	0.003384575341187883
7.0	5.2062339076428546e-05	0.010167002784876615	0.0009415154215821531	0.0019475736003747813	0.003857086670592078	0.07763200972229242	0.0009744892957201046	8.911152487854679e-05	0.0011563342104864206	2.022497227471831e-09	0.0011061990639427677
4.0	5.0441599451005456e-05	0.0727337946370244	0.02344882580218845	0.00015502467285841704	0.0007704451464815065	0.0004050676253968888	5.339065683074295e-06	0.0011447328329086304	0.005203006007359363	0.01819370026118122	0.010555192248430103
4.0	0.00026476111651376757	0.013724475018680096	0.013168240962944253	0.003135140588476588	0.0	0.0013209115206973365	0.0009338197123557279	0.017276593862916342	3.298431681741931e-05	0.0	0.007254858760414322
2.0	0.0002593120849242325	0.00027761048473621484	0.00016418758756117313	0.00019830810033724333	0.0006682933347292419	0.00021485699586474237	0.0007818385615064471	0.00012302864393163305	0.00024833440472512793	1.5756547027692135e-05	6.251660030102357e-05
0.0	0.0006717545788546886	0.0007485007391341014	0.0009278798067407479	4.4885697225254265e-05	0.00047389218972966775	0.0003388345882063959	0.0005147588072577492	0.0	0.0002717014384007399	6.844233690300072e-05	0.0001580741136422148
0.0	0.001099101216350391	0.00040299947261701163	0.00042269354958989424	0.00028461862070031427	0.0	0.0012043927699778578	0.0023784652582980927	6.989872053964064e-07	0.00011847119098092918	0.0003018687606482118	0.00019709861331648426
10.0	7.181309396401048e-05	0.0008777839585673064	0.002066606363405299	0.0049280792044010015	0.0038693691603839397	0.0029248999015544543	0.003720585265327827	4.65316304009797e-05	0.0003480616080923937	0.0022573735469632083	0.005739752225781558
34.0	0.0037215090056997723	0.000340480774466414	0.0006731296269708764	1.104659982956946e-05	0.010503295003436506	0.0019894615428736272	0.0005224867841025116	2.9808595430580455e-05	0.0008743296776630416	0.0035494288173504173	0.0004858121768636359
1.13282575928935	0.00010461020799994003	0.00018198670433324502	0.000618094173623831	0.00029781581646602716	0.00018274665892704435	0.00019627044455546638	0.000416798078094871	0.0002320348206558265	6.952136518521002e-05	0.003309642157983035	0.0004345628427199699
1.70029802282402	0.0003142725390353007	0.0001877488616082701	0.0004841274766892758	0.0002910738736773055	0.0004925522105986602	0.00017333459931194285	0.00019051312198826054	0.00030346620996169805	0.0001503363604081187	0.0036090508732013406	0.0009503621050862421
0.0	0.0004366366671514932	0.0005340567242697958	0.002602082555531524	6.888020714953314e-05	7.240196722907655e-05	0.0005648392551256621	0.004858350118738599	0.00010558185738794634	2.9776477848741933e-05	3.5165503504686058e-06	0.00022460164017132911
139.0	0.21355886481702327	0.003312869021210646	0.0473660644103012	0.08907105692662298	0.0052223280827735155	0.01815512266708538	0.05395318553317338	0.003525161630279988	0.04098201335640624	0.0016380408483382858	0.010950952342245728
210.0	0.0315913483838515	0.11889138586819172	0.040918037208612076	0.04625583155080676	0.15925357721745967	0.09379487789934501	0.03292887936420561	0.060761304162442686	0.11488753341138364	0.0019594391968712445	0.0950279931537807
343.0	0.03869265110365393	0.13080902583897114	0.18968424070626497	0.11286285605281592	0.11994595624506474	0.1396972630918026	0.1559708235785365	0.19090136557817458	0.06913707268889993	0.21905889511108398	0.13729162842035295
