Sample Names	MutationType	0	1	2	3	4	5	6	7
EOC1003_p2OvaL1_TR_DNA	74.0	0.0	0.0	0.0	0.0	0.8057215406914717	0.12029806061794895	0.07398039869057936	0.0
EOC1003_p2OvaL1_TR_DNA	133.0	0.0	0.0	0.0	0.0	0.2998905013445572	0.6833250416600907	0.01678445699535224	0.0
EOC1003_p2OvaL1_TR_DNA	83.0	0.0	0.0	0.0	0.0	0.8148298183704196	0.05913331623923057	0.1260368653903498	0.0
EOC1003_p2OvaL1_TR_DNA	201.0	0.0	0.0	0.0	0.0	0.49628103277326413	0.13846284424648422	0.3652561229802517	0.0
EOC1003_p2OvaL1_TR_DNA	48.0	0.0	0.0	0.0	0.0	0.22025766635257626	0.0697479367652291	0.7099943968821947	0.0
EOC1003_p2OvaL1_TR_DNA	32.0	0.0	0.0	0.0	0.0	0.25860487186607595	0.15372199601439912	0.5876731321195249	0.0
EOC1003_p2OvaL1_TR_DNA	11.0	0.0	0.0	0.0	0.0	0.04200075884822366	0.10938178995786975	0.8486174511939066	0.0
EOC1003_p2OvaL1_TR_DNA	7.0	0.0	0.0	0.0	0.0	0.7625081390420353	0.05493283117940098	0.1825590297785637	0.0
EOC1003_p2OvaL1_TR_DNA	4.0	0.0	0.0	0.0	0.0	0.9296696321130132	0.012387606220234115	0.05794276166675255	0.0
EOC1003_p2OvaL1_TR_DNA	10.0	0.0	0.0	0.0	0.0	0.8977364568204216	0.004024903455369526	0.0982386397242089	0.0
EOC1003_p2OvaL1_TR_DNA	4.0	0.0	0.0	0.0	0.0	0.679221209801096	0.22104090652806097	0.09973788367084306	0.0
EOC1003_p2OvaL1_TR_DNA	3.0	0.0	0.0	0.0	0.0	0.16523078653267853	0.008348723098923094	0.8264204903683984	0.0
EOC1003_p2OvaL1_TR_DNA	7.0	0.0	0.0	0.0	0.0	0.9967160912961575	0.003283908703842535	0.0	0.0
EOC1003_p2OvaL1_TR_DNA	4.0	0.0	0.0	0.0	0.0	0.3223817690613715	0.6646089264931111	0.013009304445517489	0.0
EOC1003_p2OvaL1_TR_DNA	4.0	0.0	0.0	0.0	0.0	0.0017660405289288323	0.9921072215571901	0.006126737913881078	0.0
EOC1003_p2OvaL1_TR_DNA	2.0	0.0	0.0	0.0	0.0	0.8160743309346274	0.1032307951738545	0.08069487389151803	0.0
EOC1003_p2OvaL1_TR_DNA	0.0	0.0	0.0	0.0	0.0	0.809499825485622	0.012197589234664633	0.1783025852797134	0.0
EOC1003_p2OvaL1_TR_DNA	0.0	0.0	0.0	0.0	0.0	0.0064188015068136605	0.006783407519274134	0.9867977909739123	0.0
EOC1003_p2OvaL1_TR_DNA	10.0	0.0	0.0	0.0	0.0	0.9226027669230871	0.04584835726501819	0.031548875811894785	0.0
EOC1003_p2OvaL1_TR_DNA	34.0	0.0	0.0	0.0	0.0	0.9654948594650581	0.007980770708654918	0.026524369826287007	0.0
EOC1003_p2OvaL1_TR_DNA	1.13282575928935	0.0	0.0	0.0	0.0	0.5372355850173607	0.35085588445447563	0.11190853052816349	0.0
EOC1003_p2OvaL1_TR_DNA	1.70029802282402	0.0	0.0	0.0	0.0	0.5075991331028243	0.2603975571800932	0.23200330971708244	0.0
EOC1003_p2OvaL1_TR_DNA	0.0	0.0	0.0	0.0	0.0	0.5537127454939619	0.28594066140224894	0.1603465931037891	0.0
EOC1003_p2OvaL1_TR_DNA	139.0	0.0	0.0	0.0	0.0	0.09519194235426201	0.05125956691593643	0.8535484907298015	0.0
EOC1003_p2OvaL1_TR_DNA	210.0	0.0	0.0	0.0	0.0	0.7378710889058434	0.15443434966693467	0.10769456142722186	0.0
EOC1003_p2OvaL1_TR_DNA	343.0	0.0	0.0	0.0	0.0	0.4897974921349656	0.4218636269806329	0.08833888088440146	0.0
EOC1003_p2OvaL1_TR_DNA	29.0	0.0	0.0	0.0	0.0	0.46948445670738664	0.275237958715044	0.2552775845775694	0.0
EOC1003_p2OvaL1_TR_DNA	70.0	0.0	0.0	0.0	0.0	0.7840622678110349	0.1854613741185097	0.030476358070455442	0.0
EOC1003_p2OvaL1_TR_DNA	28.0	0.0	0.0	0.0	0.0	0.6089523043065368	0.3733925474754467	0.017655148218016555	0.0
EOC1003_p2OvaL1_TR_DNA	3.0	0.0	0.0	0.0	0.0	0.5160130501100106	0.43184356698833587	0.05214338290165356	0.0
EOC1003_p2OvaL1_TR_DNA	3.0	0.0	0.0	0.0	0.0	0.6826795121757364	2.4370111578889944e-06	0.31731805081310577	0.0
EOC1003_p2OvaL1_TR_DNA	407.0	0.0	0.0	0.0	0.0	0.5345730191418484	0.24544995254837934	0.21997702830977217	0.0
EOC1003_p2OvaL1_TR_DNA	34.0	0.0	0.0	0.0	0.0	0.5143939963725371	0.26526518319894515	0.2203408204285178	0.0
EOC1003_p2OvaL1_TR_DNA	4.0	0.0	0.0	0.0	0.0	0.22613151151544078	0.2711622847232591	0.5027062037613002	0.0
EOC1003_p2OvaL1_TR_DNA	9.0	0.0	0.0	0.0	0.0	0.25030953752212776	0.374545096555901	0.37514536592197123	0.0
EOC1003_p2OvaL1_TR_DNA	13.0	0.0	0.0	0.0	0.0	0.8836779363907493	0.11456308688402392	0.0017589767252268458	0.0
EOC1003_p2OvaL1_TR_DNA	18.0	0.0	0.0	0.0	0.0	0.6224924136766917	0.30360487225134625	0.07390271407196186	0.0
EOC1003_p2OvaL1_TR_DNA	6.0	0.0	0.0	0.0	0.0	0.6263296211804829	0.34327372714837784	0.030396651671139138	0.0
EOC1003_p2OvaL1_TR_DNA	172.0	0.0	0.0	0.0	0.0	0.4629899909055468	0.17430816566427773	0.3627018434301754	0.0
EOC1003_p2OvaL1_TR_DNA	330.0	0.0	0.0	0.0	0.0	0.41937030834545547	0.300685758139818	0.27994393351472635	0.0
EOC1003_p2OvaL1_TR_DNA	106.0	0.0	0.0	0.0	0.0	0.581077586222659	0.39533147693554016	0.023590936841800823	0.0
EOC1003_p2OvaL1_TR_DNA	63.0	0.0	0.0	0.0	0.0	0.8695600846825355	0.09502469787425774	0.03541521744320683	0.0
EOC1003_p2OvaL1_TR_DNA	17.0	0.0	0.0	0.0	0.0	0.9851002429962218	0.0072803070291026705	0.00761944997467557	0.0
EOC1003_p2OvaR1_DNA1	74.0	0.0	0.0	0.0	0.33627020973560395	0.4833512178535922	0.0	0.03924524610919465	0.1411333263016092
EOC1003_p2OvaR1_DNA1	133.0	0.0	0.0	0.0	0.23279511844457487	0.5928753799516081	0.0	0.02934273207833154	0.14498676952548548
EOC1003_p2OvaR1_DNA1	83.0	0.0	0.0	0.0	0.192700040433362	0.652087184476851	0.0	0.08919261394865374	0.06602016114113322
EOC1003_p2OvaR1_DNA1	201.0	0.0	0.0	0.0	0.22663491486465184	0.41058792858271226	0.0	0.2672197487093764	0.09555740784325942
EOC1003_p2OvaR1_DNA1	48.0	0.0	0.0	0.0	0.16593170690777137	0.17070440905656575	0.0	0.4865877521137783	0.17677613192188468
EOC1003_p2OvaR1_DNA1	32.0	0.0	0.0	0.0	0.08043542900551229	0.21859897166532247	0.0	0.4392783452279626	0.2616872541012026
EOC1003_p2OvaR1_DNA1	11.0	0.0	0.0	0.0	0.6846830021510251	0.011085420720469303	0.0	0.19806126500939508	0.10617031211911065
EOC1003_p2OvaR1_DNA1	7.0	0.0	0.0	0.0	0.37163148794962686	0.38220808089610064	0.0	0.08091913786354496	0.16524129329072745
EOC1003_p2OvaR1_DNA1	4.0	0.0	0.0	0.0	0.08798457994958998	0.8617754992068692	0.0	0.04749602180583109	0.0027438990377095483
EOC1003_p2OvaR1_DNA1	10.0	0.0	0.0	0.0	0.06465929471516643	0.782228816689376	0.0	0.07569371766730386	0.07741817092815356
EOC1003_p2OvaR1_DNA1	4.0	0.0	0.0	0.0	0.027387250948637414	0.7392630374112054	0.0	0.09599319545302586	0.13735651618713124
EOC1003_p2OvaR1_DNA1	3.0	0.0	0.0	0.0	0.22594143690639135	0.06641118694102566	0.0	0.29372701748614377	0.41392035866643917
EOC1003_p2OvaR1_DNA1	7.0	0.0	0.0	0.0	0.5466487460330679	0.4533511377814555	0.0	0.0	1.1618547644856504e-07
EOC1003_p2OvaR1_DNA1	4.0	0.0	0.0	0.0	0.12472472905593052	0.07746741665296027	0.0	0.0027643639673553605	0.7950434903237538
EOC1003_p2OvaR1_DNA1	4.0	0.0	0.0	0.0	0.8589297425324313	0.02566188097615115	0.0	0.07872445628489692	0.03668392020652057
EOC1003_p2OvaR1_DNA1	2.0	0.0	0.0	0.0	0.17393357219118222	0.7454235814355898	0.0	0.06517963196381847	0.015463214409409395
EOC1003_p2OvaR1_DNA1	0.0	0.0	0.0	0.0	0.034886745061158825	0.7789763437287416	0.0	0.15172519229929823	0.03441171891080148
EOC1003_p2OvaR1_DNA1	0.0	0.0	0.0	0.0	0.30879549255727134	0.0036650686979182077	0.0	0.4982518145064242	0.18928762423838624
EOC1003_p2OvaR1_DNA1	10.0	0.0	0.0	0.0	0.3803274478752102	0.42831545435977647	0.0	0.01295165977140413	0.17840543799360925
EOC1003_p2OvaR1_DNA1	34.0	0.0	0.0	0.0	0.0	0.8508861402116421	0.0	0.020670886635539093	0.12844297315281894
EOC1003_p2OvaR1_DNA1	1.13282575928935	0.0	0.0	0.0	0.08536141955560127	0.13910738892692157	0.0	0.025623660251664616	0.7499075312658126
EOC1003_p2OvaR1_DNA1	1.70029802282402	0.0	0.0	0.0	0.0886952281092457	0.17372842245450235	0.0	0.07021610448822113	0.6673602449480308
EOC1003_p2OvaR1_DNA1	0.0	0.0	0.0	0.0	0.10213653843173122	0.6900177600179708	0.0	0.17669653466888766	0.031149166881410405
EOC1003_p2OvaR1_DNA1	139.0	0.0	0.0	0.0	0.3058694934161411	0.07685544175218731	0.0	0.6093897992625329	0.007885265569138742
EOC1003_p2OvaR1_DNA1	210.0	0.0	0.0	0.0	0.15675046879945925	0.7249549169000978	0.0	0.09356573300841373	0.02472888129202913
EOC1003_p2OvaR1_DNA1	343.0	0.0	0.0	0.0	0.20749595386938344	0.4089965488000127	0.0	0.06523002217346002	0.3182774751571439
EOC1003_p2OvaR1_DNA1	29.0	0.0	0.0	0.0	0.01443295556367548	0.00969900514454609	0.0	0.004663491610617665	0.9712045476811608
EOC1003_p2OvaR1_DNA1	70.0	0.0	0.0	0.0	0.04820484372359931	0.14842503013642472	0.0	0.0051016681524148925	0.798268457987561
EOC1003_p2OvaR1_DNA1	28.0	0.0	0.0	0.0	0.44512652020766375	0.4367517429102502	0.0	0.011197350771036316	0.1069243861110497
EOC1003_p2OvaR1_DNA1	3.0	0.0	0.0	0.0	0.09799720343851444	0.8280135650165298	0.0	0.07398923154495564	0.0
EOC1003_p2OvaR1_DNA1	3.0	0.0	0.0	0.0	0.009599696507445264	0.7018986721402086	0.0	0.2884993745742249	2.256778121134144e-06
EOC1003_p2OvaR1_DNA1	407.0	0.0	0.0	0.0	0.23618391800863284	0.5106291709055358	0.0	0.18580973482970908	0.06737717625612208
EOC1003_p2OvaR1_DNA1	34.0	0.0	0.0	0.0	0.19439008107180747	0.5352572473750998	0.0	0.20274687738516617	0.06760579416792656
EOC1003_p2OvaR1_DNA1	4.0	0.0	0.0	0.0	0.0	0.3371738112909646	0.0	0.6628260080171926	1.8069184276943644e-07
EOC1003_p2OvaR1_DNA1	9.0	0.0	0.0	0.0	0.036499750813718305	0.01800350241162998	0.0	0.023860071254283258	0.9216366755203685
EOC1003_p2OvaR1_DNA1	13.0	0.0	0.0	0.0	0.009553068481630445	0.03643327535081874	0.0	6.41293508915654e-05	0.9539495268166591
EOC1003_p2OvaR1_DNA1	18.0	0.0	0.0	0.0	0.17684106664156937	0.2412541347077815	0.0	0.025327576574058198	0.556577222076591
EOC1003_p2OvaR1_DNA1	6.0	0.0	0.0	0.0	0.263555812651486	0.7061397649487111	0.0	0.030304422399803053	0.0
EOC1003_p2OvaR1_DNA1	172.0	0.0	0.0	0.0	0.0038063618355416375	0.45733344049398467	0.0	0.31681349002218756	0.2220467076482861
EOC1003_p2OvaR1_DNA1	330.0	0.0	0.0	0.0	0.0	0.5201210946284806	0.0	0.30702263619218356	0.17285626917933583
EOC1003_p2OvaR1_DNA1	106.0	0.0	0.0	0.0	0.7519076554734282	0.23949431715046451	0.0	0.008598027376107311	0.0
EOC1003_p2OvaR1_DNA1	63.0	0.0	0.0	0.0	0.4359459198421355	0.5335351003627326	0.0	0.019215242045900336	0.011303737749231626
EOC1003_p2OvaR1_DNA1	17.0	0.0	0.0	0.0	0.13933494152846385	0.8548178768925473	0.0	0.005846680187857128	5.013911316942417e-07
EOC1022_pOme1_DNA1	74.0	0.0	0.0	0.0	0.6842611370473204	0.0	0.0	0.0	0.3157388629526796
EOC1022_pOme1_DNA1	133.0	0.0	0.0	0.0	0.5935668486369559	0.0	0.0	0.0	0.4064331513630442
EOC1022_pOme1_DNA1	83.0	0.0	0.0	0.0	0.7263910762430696	0.0	0.0	0.0	0.27360892375693036
EOC1022_pOme1_DNA1	201.0	0.0	0.0	0.0	0.6832671703515412	0.0	0.0	0.0	0.3167328296484589
EOC1022_pOme1_DNA1	48.0	0.0	0.0	0.0	0.4605586847184767	0.0	0.0	0.0	0.5394413152815234
EOC1022_pOme1_DNA1	32.0	0.0	0.0	0.0	0.21849110238715425	0.0	0.0	0.0	0.7815088976128458
EOC1022_pOme1_DNA1	11.0	0.0	0.0	0.0	0.8543488922962987	0.0	0.0	0.0	0.14565110770370127
