NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	237.913	9.701	59.884	8.286	0.017	0.995	80000.0
2	246.819	10.227	60.121	8.399	0.019	0.994	50000.0
3	237.655	10.006	59.56	8.49	0.019	0.994	90000.0
4	240.887	9.818	60.427	8.311	0.018	0.995	80000.0
5	240.629	9.808	59.844	8.253	0.017	0.995	70000.0
6	232.991	9.683	59.207	8.193	0.018	0.995	70000.0
7	242.13	10.006	61.653	8.616	0.019	0.994	60000.0
8	248.019	10.031	62.108	8.466	0.018	0.994	60000.0
9	246.593	10.053	61.705	8.423	0.019	0.995	100000.0
10	237.289	9.93	59.021	8.213	0.019	0.995	90000.0
11	256.481	10.544	66.507	9.109	0.02	0.994	70000.0
12	235.793	9.626	57.797	7.963	0.018	0.995	60000.0
13	254.338	10.346	64.95	8.747	0.019	0.994	100000.0
14	239.287	9.805	58.939	8.166	0.018	0.995	130000.0
15	240.997	9.755	61.023	8.311	0.017	0.995	50000.0
16	241.329	10.051	59.564	8.328	0.018	0.995	70000.0
17	244.568	10.002	62.051	8.487	0.018	0.994	50000.0
18	232.909	9.353	58.026	7.759	0.018	0.995	130000.0
19	247.6	10.324	62.818	8.763	0.019	0.994	60000.0
20	245.135	10.002	60.78	8.344	0.018	0.995	70000.0
21	243.828	10.159	60.694	8.499	0.019	0.994	30000.0
22	245.712	9.823	61.584	8.225	0.017	0.995	50000.0
23	248.643	10.093	62.589	8.539	0.018	0.994	100000.0
24	251.558	10.304	62.997	8.748	0.018	0.994	80000.0
25	246.215	9.927	61.295	8.315	0.019	0.994	60000.0
26	263.792	10.64	67.029	9.048	0.019	0.994	120000.0
27	250.354	10.259	61.736	8.595	0.019	0.994	80000.0
28	237.734	9.838	59.738	8.426	0.018	0.994	70000.0
29	246.177	10.254	61.63	8.759	0.019	0.994	60000.0
30	237.888	9.814	58.917	8.226	0.017	0.995	50000.0
31	246.342	9.95	62.367	8.392	0.019	0.995	70000.0
32	242.197	9.966	59.983	8.289	0.018	0.995	60000.0
33	248.622	10.309	63.722	8.81	0.019	0.994	70000.0
34	247.306	10.318	62.346	8.764	0.018	0.994	50000.0
