NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	198.6	8.357	49.686	7.119	0.014	0.996	50000.0
2	214.004	9.098	53.215	7.547	0.016	0.996	60000.0
3	207.366	8.927	51.605	7.504	0.015	0.995	140000.0
4	195.66	8.37	48.131	6.976	0.014	0.996	110000.0
5	203.064	8.576	50.992	7.227	0.014	0.996	110000.0
6	207.267	8.849	52.175	7.42	0.015	0.996	120000.0
7	207.361	8.631	51.199	7.176	0.015	0.996	140000.0
8	202.116	8.53	50.271	7.103	0.015	0.996	80000.0
9	204.157	8.566	50.41	7.117	0.015	0.996	70000.0
10	218.749	9.014	54.054	7.415	0.016	0.996	70000.0
11	205.657	8.63	51.495	7.296	0.015	0.996	70000.0
12	199.076	8.343	49.313	6.929	0.015	0.996	140000.0
13	211.395	8.713	53.226	7.295	0.015	0.996	160000.0
14	208.877	8.798	51.234	7.27	0.015	0.996	60000.0
15	207.06	8.464	51.617	7.139	0.014	0.996	160000.0
16	216.492	9.136	53.347	7.611	0.015	0.995	140000.0
17	208.301	8.743	52.601	7.387	0.015	0.996	70000.0
18	204.131	8.306	50.879	6.937	0.014	0.996	70000.0
19	213.189	9.187	53.822	7.773	0.016	0.995	140000.0
20	214.174	8.857	53.753	7.418	0.015	0.996	100000.0
21	213.607	9.115	53.667	7.663	0.016	0.995	70000.0
22	206.878	8.542	51.388	7.123	0.014	0.996	70000.0
23	209.153	8.69	52.79	7.389	0.014	0.996	50000.0
24	219.997	9.184	55.845	7.894	0.015	0.995	120000.0
25	214.827	9.006	53.936	7.529	0.015	0.995	80000.0
26	209.186	8.737	52.339	7.281	0.015	0.996	120000.0
27	210.436	8.842	52.926	7.455	0.015	0.996	50000.0
28	214.096	9.115	53.638	7.819	0.016	0.995	100000.0
29	217.03	9.194	55.419	7.98	0.015	0.995	90000.0
30	201.679	8.572	51.135	7.249	0.015	0.996	100000.0
31	219.445	9.059	56.212	7.701	0.015	0.995	60000.0
32	208.436	8.615	52.013	7.287	0.014	0.996	90000.0
33	213.752	9.036	53.659	7.663	0.016	0.995	70000.0
34	209.404	8.787	51.597	7.338	0.015	0.996	60000.0
35	217.313	9.062	55.336	7.726	0.015	0.995	100000.0
36	204.707	8.661	51.415	7.322	0.014	0.996	80000.0
37	204.137	8.479	50.32	7.127	0.014	0.996	110000.0
38	204.62	8.639	50.781	7.291	0.014	0.996	50000.0
39	216.264	9.029	53.05	7.433	0.015	0.996	100000.0
40	203.845	8.577	49.711	7.038	0.015	0.996	40000.0
41	216.295	8.967	53.551	7.435	0.015	0.996	50000.0
42	208.91	8.775	52.164	7.341	0.015	0.996	80000.0
43	208.143	8.872	51.437	7.407	0.016	0.995	80000.0
44	207.658	8.764	52.18	7.412	0.014	0.996	60000.0
45	209.748	8.54	52.18	7.187	0.015	0.996	70000.0
46	210.368	8.807	52.676	7.433	0.015	0.996	90000.0
47	204.788	8.568	51.469	7.182	0.015	0.996	70000.0
48	204.896	8.523	50.997	7.119	0.015	0.996	100000.0
49	207.942	8.949	51.79	7.649	0.015	0.995	110000.0
50	212.425	8.688	53.649	7.269	0.015	0.996	100000.0
51	198.051	8.409	48.776	7.071	0.014	0.996	50000.0
52	197.174	8.551	48.155	7.061	0.015	0.996	120000.0
53	208.345	8.74	52.028	7.405	0.015	0.996	130000.0
54	222.271	9.23	55.741	7.809	0.015	0.995	60000.0
55	213.563	8.888	53.537	7.475	0.015	0.996	60000.0
56	202.309	8.657	51.847	7.518	0.015	0.995	70000.0
57	200.283	8.564	49.876	7.209	0.015	0.996	60000.0
58	218.691	9.125	53.905	7.576	0.016	0.995	70000.0
59	200.912	8.368	49.559	6.965	0.014	0.996	120000.0
60	203.287	8.381	48.888	6.885	0.015	0.996	80000.0
61	212.148	8.729	52.658	7.305	0.015	0.996	110000.0
62	199.007	8.217	48.908	6.885	0.013	0.996	70000.0
63	198.127	8.333	47.559	6.863	0.015	0.996	170000.0
64	208.7	8.54	51.654	7.068	0.014	0.996	70000.0
65	205.749	8.652	51.32	7.31	0.014	0.996	70000.0
66	213.919	9.013	53.563	7.568	0.015	0.995	70000.0
67	206.952	8.753	51.014	7.341	0.015	0.996	50000.0
68	211.292	9.029	52.618	7.611	0.015	0.995	170000.0
69	209.504	9.034	53.309	7.703	0.016	0.995	60000.0
70	214.817	8.822	53.331	7.326	0.015	0.996	100000.0
71	208.537	8.642	51.831	7.285	0.015	0.996	90000.0
72	198.928	8.237	49.442	6.922	0.014	0.996	70000.0
73	203.362	8.622	50.93	7.253	0.014	0.996	130000.0
74	205.137	8.628	51.503	7.286	0.014	0.996	60000.0
75	202.321	8.586	48.82	7.035	0.015	0.996	180000.0
76	212.711	8.689	53.091	7.342	0.015	0.996	70000.0
77	207.953	8.79	50.703	7.266	0.015	0.996	130000.0
78	202.688	8.603	49.524	7.182	0.015	0.996	90000.0
79	208.969	8.86	51.784	7.491	0.015	0.995	160000.0
80	203.101	8.58	51.616	7.339	0.014	0.996	120000.0
81	208.513	8.683	51.346	7.229	0.015	0.996	70000.0
82	195.819	8.282	49.119	6.98	0.014	0.996	60000.0
83	210.814	8.908	52.924	7.588	0.016	0.995	110000.0
84	211.418	8.944	52.84	7.439	0.015	0.996	70000.0
85	216.232	8.768	54.464	7.406	0.015	0.996	50000.0
86	213.811	8.801	53.255	7.338	0.015	0.996	110000.0
87	206.582	8.711	51.32	7.37	0.014	0.996	140000.0
88	204.99	8.409	50.648	6.999	0.014	0.996	90000.0
89	206.711	8.532	51.456	7.137	0.014	0.996	80000.0
90	206.827	8.74	51.452	7.311	0.015	0.996	70000.0
91	194.893	8.321	48.751	7.104	0.014	0.996	110000.0
92	206.467	8.692	51.401	7.232	0.015	0.996	70000.0
93	217.888	9.052	54.57	7.51	0.015	0.996	80000.0
94	229.826	9.33	57.027	7.738	0.016	0.995	130000.0
95	200.87	8.549	50.065	7.247	0.015	0.996	150000.0
96	206.57	8.912	50.298	7.446	0.016	0.995	90000.0
97	211.574	8.886	52.308	7.364	0.015	0.996	100000.0
98	217.709	8.931	54.51	7.585	0.015	0.995	110000.0
99	210.399	8.475	52.45	7.072	0.014	0.996	110000.0
100	206.569	8.591	51.668	7.194	0.014	0.996	70000.0
