MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J	CH43K	CH43L
74.0	0.05047597182681784	0.007833138460611852	0.029845211529172955	0.03940533348824829	0.1063686015177518	0.11934426069259643	0.15504043675959112	0.2016822323948145	0.005479353125829693	0.026696215229629013	0.03076671835966408	0.005706660395511008
133.0	0.020049957291570452	0.0024941403140098656	0.03891111281933448	0.024038374319809198	0.012416006049634247	0.004439804118987749	0.004215650873566585	0.006220326631450766	0.23316300578415394	0.03964953487738967	0.014203533420804888	0.0004996311105787754
83.0	0.033466746360063554	0.01147407916127122	0.017451085856882854	0.04345183248753643	0.012086115536513207	0.012309200817253441	0.028115046977763996	0.006254300799919295	0.0016984835214808687	0.009038399565033614	0.004748024418076966	0.03173401356674731
201.0	0.08200866132741794	0.17226410627365113	0.09390620758756996	0.08453774239867926	0.10918352176695756	0.129210809385404	0.10524421382695437	0.09191982816904783	0.02823533049904371	0.08865818710997701	0.05032640505582094	0.09464984351624935
48.0	0.002414139525249708	0.005781744899841215	0.0009917114279414968	0.004728225884027779	0.0025054175233987053	0.0021243490978462135	0.0009000997491602902	0.01134388950536959	0.0021534922514547363	0.0004619198705768213	0.00022100278343714308	0.1347450949018821
32.0	0.00011094644927652553	0.004280811187345535	0.00035229459821937146	0.003333975205679581	0.00045032284398985214	0.0014671591910382631	0.00034219963825307784	4.8910786863416436e-05	0.005502966489385059	0.002662285953782657	0.00020339941771254643	0.17791783840861172
11.0	0.012402887473684036	0.0011263250311094452	0.0033191750713740475	0.00010236167516268324	0.00011573781142942607	2.0142924040555953e-05	0.056282560601830484	0.11559681478887797	0.0004652238894777838	0.00256591690504138	0.0016575639010375203	0.0014344236499164254
7.0	0.006697124406682633	9.133991552516818e-06	0.0019438280712347478	0.0058521315944381055	0.0011168455022527088	0.0008516766819957411	0.0071130282634462106	0.06092758985236287	7.308425498194992e-05	0.0005793408327735961	0.002859910546685569	0.0011311401257989928
4.0	0.0034607928271361745	0.00287572870234726	0.000623082546517253	0.012545131379956729	0.013078886266448535	0.0002461656458035577	0.0016571973415557295	0.022927057882770895	0.00043280662102802126	0.002224979760217991	2.122725360095501e-05	0.0002092064828320872
10.0	0.005681102531962096	0.005240204596775584	0.000858114680449944	0.014281235326780006	0.0235498166247271	0.0011545146489834223	0.0010166342404409078	0.0009119892166927457	3.7473739938320703e-05	0.003198838039568239	0.0014859506749320417	0.004566648561627744
4.0	0.0012541700812289491	0.0004561864563584095	0.00012257510630323492	0.0015455304688657633	0.0007197497736342485	0.0020372715835401322	0.0023552691075019536	0.0009521667272083123	0.0005908765431240681	0.0017588263649304281	0.0008740357708302327	0.0004618472192669287
3.0	0.0004645458752565901	0.0019760018336819484	0.0005012401854435211	0.0003234045633507776	0.001863834555260837	0.0010366785437145153	0.0020316152033046818	0.00017778170706151287	5.804471948067657e-07	0.0006404347879106353	0.002769319069921039	0.005008707856759429
7.0	0.0024402698019616764	2.6246897468810117e-05	0.001162930719402624	0.004371222285828935	0.011852140596311074	0.0024308642805908674	0.08278559803031385	0.0019105659425258637	1.4419660931110912e-05	0.0003113330106054946	1.4887341706071311e-08	0.0004593927138262188
4.0	0.0006679189734859392	0.00011032415321096778	0.0005074669086025097	0.004809033420751802	0.049025301469955596	0.0720947215333581	0.00042534705945728666	0.0	0.00039075370877981184	0.0016489631397416816	0.017274787042697425	0.0
4.0	0.0011852911390997178	9.326659507806312e-05	0.004204051307729912	4.1409104596823454e-05	0.0003281515062553808	0.040904486291110514	0.001137578742804412	0.0008327209857390016	0.012472530941013247	0.0001246684895917838	0.0001929987316543702	0.0016103383183107228
2.0	0.00017377587066221166	0.00022218050310065962	0.0001978584636507108	0.0007058761864027474	0.0003159253069770784	0.0003960177506839102	0.0002139725819506566	0.0008632152095378842	8.55753470533216e-05	0.0002271940544183282	8.683880784588308e-06	6.39844496618025e-06
0.0	0.0010003650008002297	0.0006280169506869981	3.5228139295213624e-05	0.00038566614067349293	0.0008837020817009034	0.0005981891784540494	0.00029629683553570094	0.0005053862398744968	7.961940791574307e-06	0.0002232923546398524	3.5357328232272776e-05	6.526694080093875e-05
0.0	0.0008030164442627097	0.001166097505192738	0.00030776961190515095	3.533376278937794e-05	0.00026715325908298836	0.00027612142757789117	0.001342366411798594	0.002395905371522531	2.6026880429874665e-06	7.428939894452923e-05	0.00025993548428232316	0.00013827775426761946
10.0	0.0029228012962266804	5.4467244481202215e-05	0.004913194627733901	0.003849955920013599	0.001506074520330003	0.00024238418470304168	0.002845039070089115	0.004062685017706826	4.300690648960881e-05	6.376503588398919e-05	0.0020414680846624835	0.007504171677574049
34.0	0.002286981290519492	0.0052719429753778965	5.696846727687444e-10	0.00785752193516771	0.004245082675732075	0.0007482111825203575	0.0012401108043003717	0.00046703395594846595	1.521546315458977e-05	0.0007967296349299602	0.003340079159508349	0.00018531798530602828
1.13282575928935	0.0007097940225048661	0.00011253655739892565	0.00026736460473330225	0.0001791683497140184	0.00022705869269884716	0.00019534395172968289	0.00023367789593066845	0.00047146659588179316	0.0002691726633020153	6.23007828835398e-05	0.0032806833612266926	0.00046672325319377703
1.70029802282402	0.0005344497295300244	0.00033763980760340926	0.00025294209778621736	0.0005214436058810179	0.0002046097267884761	0.00018625943806910072	0.00020438222569964636	0.00022251956731679458	0.0003212837886894704	0.00020075255167967043	0.0035806178220082075	0.001169954058714211
0.0	0.0031758478743722663	0.00028760264476369814	4.8446044899570495e-05	9.235116530961207e-05	0.00039807731118344234	0.0007438388858440703	0.0007054432138465927	0.004690665335510857	7.280119683123588e-05	4.1770949875905574e-05	0.0	6.529903544958416e-05
139.0	0.08560422344831817	0.22835137724876403	0.0921538411360234	0.006457048417069355	0.005014746222787529	0.004106658627280541	0.013444255342555174	0.04363133480331082	0.0007619172179237254	0.048298320135750146	0.0017644447163911536	0.007911614294680475
210.0	0.01877293299941592	0.027168183042667805	0.044028758029453455	0.1595770257152617	0.1427950781583786	0.08235578439198435	0.09504371312912553	0.03230687855742872	0.06072645846987143	0.11097501935437322	0.002344905958795662	0.10115373807260766
343.0	0.1754163435101509	0.038060328820720316	0.11321236338466406	0.1113841299340129	0.11515613647177815	0.1728093346208334	0.13795397825539113	0.15957091581076382	0.19167596027255057	0.0637054460577201	0.21699040308594703	0.12326358658652253
29.0	0.0012287680755058527	0.0015638672853674506	0.0005360576617798819	0.002095546140886777	0.0008094797834928613	0.00044511809490359154	0.0002596004304359667	0.0003886736149797798	0.0005986745599147983	0.0003022409856930608	0.17019442841410637	0.006955914335921989
