Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J	CH43K	CH43L	CH43M
EOC523_pOvaR1_DNA2	8.08E+00	1.23E+01	1.84E+01	6.15E+00	5.33E-01	1.13E+00	4.40E-01	7.71E+00	2.67E+00	1.45E+01	3.98E+00	3.83E+00	5.00E+00
EOC561_pPer1_DNA1	6.11E+01	1.66E+01	1.75E+01	2.54E+01	6.03E+00	6.15E+01	4.57E+00	8.09E+00	1.40E+01	1.68E+01	1.32E+00	3.22E+01	9.46E+00
EOC561_pPer1_DNA1_bgiseq	5.49E+01	1.25E+01	1.63E+01	2.28E+01	5.64E+00	4.84E+01	2.21E+00	9.90E+00	2.30E+01	9.46E+00	1.60E+00	2.31E+01	6.76E+00
EOC63_pOme1_DNA1	1.50E+02	6.80E+00	1.65E+02	9.32E+01	1.26E+02	3.21E+01	7.34E+01	1.58E+01	1.58E+01	1.10E+02	0.00E+00	7.80E+01	6.93E+00
EOC63_pOvaR1_DNA1	1.27E+01	4.21E+01	3.07E+00	1.43E+01	1.35E+01	1.51E+01	1.47E+01	3.75E+01	1.30E+01	7.43E+00	2.42E+00	2.09E+01	4.45E-02
EOC667_pMes1_DNA1	6.10E+01	4.57E+00	3.62E+01	3.50E+01	2.07E+01	2.00E+01	3.90E+01	7.86E+00	5.55E+00	1.81E+01	1.78E+00	2.20E+01	9.68E-01
EOC667_pOme1_DNA2	6.17E+01	6.80E+00	3.70E+01	4.13E+01	1.96E+01	1.97E+01	3.88E+01	9.55E+00	5.89E+00	1.17E+01	2.06E+00	2.26E+01	8.44E-01
EOC77_iOme1_DNA1	1.01E+01	7.44E+00	3.20E+00	5.51E+00	9.12E-01	7.45E+00	3.05E+00	5.56E+00	3.82E+00	4.95E+00	4.32E+00	1.08E+01	4.77E-01
EOC77_iOme2_DNA1	1.11E+01	1.27E+00	7.20E+00	8.35E+00	8.54E-01	1.04E+01	2.16E+00	0.00E+00	3.12E+00	7.67E+00	4.49E+00	1.05E+01	1.00E-01
EOC77_iPer1_DNA2	1.10E+01	1.86E+00	6.42E+00	1.08E+01	2.12E+00	1.19E+01	4.15E+00	1.18E+00	3.64E+00	5.95E+00	4.43E+00	1.12E+01	1.84E+00
EOC77_pAsc1_DNA1	8.66E+00	2.35E+00	3.08E+00	5.72E+00	1.25E+00	7.37E+00	3.05E+00	8.14E-01	3.16E+00	4.59E+00	4.31E+00	8.25E+00	2.64E+00
EOC77_pOme1_DNA3	1.22E+01	7.63E-01	5.63E+00	7.29E+00	1.52E+00	1.21E+01	3.09E+00	8.52E-01	2.76E+00	5.24E+00	4.39E+00	1.04E+01	5.63E+00
EOC779_pOme1_DNA1	8.72E+00	8.60E+00	1.62E+01	2.24E+01	2.01E+01	4.08E+00	8.83E+00	4.32E+00	6.64E+00	7.25E+00	3.18E+00	2.84E+00	1.25E+00
EOC779_pOvaL1_DNA1	3.65E+01	9.39E+00	5.85E+01	6.61E+01	6.06E+01	5.25E+00	3.27E+01	5.57E+00	6.83E+00	7.38E+00	4.97E-01	7.03E+00	9.67E-01
EOC779_pPer1_DNA1	2.36E+01	1.02E+01	3.97E+01	4.85E+01	4.30E+01	5.51E+00	2.08E+01	3.64E+00	6.34E+00	6.40E+00	1.56E+00	4.32E+00	1.20E+00
EOC863_pMes1_DNA1	1.02E+01	1.90E+01	8.58E+00	4.87E+00	1.25E+00	1.37E+00	2.06E+00	1.57E+01	9.46E+00	8.10E+00	4.80E+00	1.18E+00	2.91E+00
EOC863_pOva1_DNA1	3.24E+01	1.52E+01	1.61E+01	1.66E+01	4.25E+00	1.78E+00	4.82E+00	2.32E+01	9.83E+00	1.23E+01	3.85E+00	8.22E+00	4.19E+00
EOC879_p2Ome1_DNA1	1.91E+01	1.08E+01	1.01E+01	1.56E+01	2.64E+00	1.20E+01	3.77E+00	1.47E+01	8.89E+00	7.49E+00	3.04E+00	1.39E+01	7.46E+00
EOC879_p2OvaL1_DNA1	6.41E+01	4.66E+01	1.30E+01	8.49E+00	3.21E+00	3.12E+01	1.46E+01	3.99E+01	1.37E+01	9.85E+00	1.37E+00	6.64E+01	4.60E+00
EOC879_p2TubL1_DNA1	5.17E+01	3.99E+01	9.81E+00	9.30E+00	2.26E+00	2.96E+01	1.28E+01	3.16E+01	1.14E+01	1.05E+01	1.62E+00	5.83E+01	2.53E+00
EOC914_iOme1_DNA1	4.18E+01	1.14E+01	1.28E+01	2.22E+01	5.35E+00	2.96E+00	6.48E+00	3.12E+01	1.63E+01	1.31E+01	3.19E+00	3.28E+01	6.31E+00
EOC914_iOvaL1_DNA1	3.73E+01	1.28E+01	8.18E+00	1.95E+01	4.50E+00	5.36E+00	5.50E+00	2.75E+01	1.33E+01	1.38E+01	3.27E+00	3.02E+01	5.66E+00
EOC914_iPer1_DNA1	3.17E+01	1.28E+01	8.65E+00	1.81E+01	4.19E+00	4.03E+00	6.26E+00	2.27E+01	1.36E+01	1.08E+01	3.33E+00	2.71E+01	4.63E+00
EOC984_pOme1_DNA1	8.13E+00	5.38E-01	7.79E+00	9.15E+00	8.23E+00	2.43E+00	4.53E+00	4.10E-01	2.39E+00	6.23E+00	4.37E+00	7.75E+00	4.77E-01
EOC984_pPer1_DNA1	7.31E+00	4.56E-01	7.46E+00	8.98E+00	7.82E+00	1.88E+00	4.16E+00	9.41E-01	3.22E+00	5.00E+00	4.22E+00	6.93E+00	5.50E-01
