MutationType	CH43A	CH43B	CH43C	CH43D
74.0	0.10464952364563943	0.03974446460604668	0.06828347213566303	0.025358792655169965
133.0	0.006264160731807351	0.04060843251645565	0.06346813760697842	0.027136308941990137
83.0	0.014108188627287745	0.03253941550850868	0.010781190041452646	0.012343747224658728
201.0	0.12022885292768479	0.08866858646273613	0.09245454490184785	0.0718247639760375
48.0	0.005945084532722831	0.007251249589025974	0.004813978103920817	0.014960598088800908
32.0	0.0008899918787938077	0.007764243921265006	0.006413702052086591	0.02346606517210603
11.0	0.0474498662725091	0.0011567941656635127	0.0001127290448379312	0.0009414646109721048
7.0	0.019204652458429335	0.0022427242959383877	0.00014521299930868233	0.0020887822430813684
4.0	0.007937225964851677	0.00783381880261004	0.0004182674445246448	0.0005199696499767015
10.0	0.0015736992075107991	0.010632022153586149	0.0013589129084721208	0.005651621278375387
4.0	0.0011308924370678141	0.001023986922809854	0.001260681243147701	0.000929293384833727
3.0	0.0010674014023970813	0.0008925329781777691	0.0007829174949438311	0.0020471860747784377
7.0	0.019677168987691403	0.010491505125537514	0.0013759480154840276	0.0
4.0	0.0	0.0	0.041988040469586846	0.013606637259945273
4.0	0.0012246845540357753	0.0003000992669792961	0.021117677967995404	0.0010365451596590005
2.0	0.00041388764744624494	0.0004008286967291497	0.00021310384099706425	1.6957019712435796e-05
0.0	0.0005873604060616344	0.00026041104166779405	0.000477072902067448	0.0002471783623354895
0.0	0.0015987134864553808	5.747198610151827e-05	0.0001440186913305297	0.00026596249421842797
10.0	0.0020505424053408206	0.004534076158888638	0.00031950004738973804	0.002187851871130988
34.0	0.0010982414905447513	0.005085032666102052	1.263181518879719e-05	0.003068531819153577
1.13282575928935	0.0002904326301359106	0.0001622068463893811	0.00020237223677213478	0.001666453456855379
1.70029802282402	0.00023221982823997677	0.0002658834544854471	0.00025102336112468036	0.0019628536864183845
0.0	0.002233946338528767	9.32796855583007e-06	0.0005559646687470376	6.57825033172621e-05
139.0	0.10328172229230403	0.033357925042510034	0.013800477460026741	0.030934643391519787
210.0	0.0444860102981329	0.11528891868889332	0.08710695900022984	0.03647916032001376
343.0	0.11436375215649605	0.10882062584161759	0.163067969083786	0.16791411861777306
29.0	0.00018287075055013703	0.0006624056087343888	0.00020489811426593847	0.06996637027710677
70.0	0.004788987473584711	0.005151020663324743	0.003694306681863964	0.09315336063504219
28.0	0.013622411079704761	0.012367248497903348	0.012057807138189673	0.00606008374132216
3.0	0.003652362353168428	0.003473552223294973	0.005824772142805159	0.0
3.0	0.0004960525190108456	0.0005911727584316395	0.0	2.008544919545052e-06
407.0	0.07140547983348369	0.17500941351056098	0.10219690546393395	0.08723528906702996
34.0	0.015274030556902289	0.014811219573020935	0.016775582656264304	0.00820913608185947
4.0	0.007835788824595511	3.47877658532525e-05	0.007005381188355387	0.0016522484902088764
9.0	0.000629344701737864	0.0003303346500706539	0.0007223530349438078	0.016626763492822647
13.0	1.2357921494218068e-05	0.00024255940574096968	6.390252495654611e-05	0.028186110630631447
18.0	0.003719483856111765	0.003356563285924494	0.0021530950837768616	0.013856235705316067
6.0	0.003501466528978199	0.0038071119342930615	0.004550769624765963	0.0
172.0	0.03812238778918982	0.011294302055612207	0.02455772753804922	0.0724846525490284
330.0	0.19256166160106658	0.0564441180229187	0.20135193571448326	0.15365779817104339
106.0	0.021935653928667306	0.13881493121385574	0.03482870899140835	1.172803195004235e-08
63.0	0.0002714361154176004	0.04715144250541926	0.0030853435792960225	0.002188556930341292
17.0	1.18883458632979e-10	0.0070652199396863576	2.288360967384051e-10	1.1544207403346718e-07
