MutationType	CH43A
74.0	0.06648373000323772
133.0	0.03309044402092695
83.0	0.01782902203500271
201.0	0.09766534000635146
48.0	0.007330821733921767
32.0	0.0074201826332136985
11.0	0.01627643473446369
7.0	0.007321562902070582
4.0	0.004940163264982402
10.0	0.00451424848753959
4.0	0.0011093067255569622
3.0	0.0010819150978932158
7.0	0.009635564219206572
4.0	0.012686461471021175
4.0	0.00600135421846062
2.0	0.000293886656727409
0.0	0.0004221285672974773
0.0	0.0006145173322875053
10.0	0.002264373165089637
34.0	0.0021441526035778226
1.13282575928935	0.0004360670494497754
1.70029802282402	0.0005027406651061028
0.0	0.0008954034489579498
139.0	0.051258308589458464
210.0	0.07324425630271435
343.0	0.13304317161440848
29.0	0.010480373166501522
70.0	0.017516273912042378
28.0	0.011765088532119989
3.0	0.0035934081207960843
3.0	0.000334478821605444
407.0	0.10930192425847053
34.0	0.014552173148840665
4.0	0.004636635878123343
9.0	0.002930717612616718
13.0	0.004160790909081697
18.0	0.00470006465446204
6.0	0.0033229022868908943
172.0	0.032492215149104595
330.0	0.1530718021094799
106.0	0.053043159507215026
63.0	0.013719640932977199
17.0	0.0018727858003694563
