"EOC1003_p2Ome1_TR_DNA"	"EOC1003_p2OvaL1_TR_DNA"	"EOC1003_p2OvaR1_DNA1"	"EOC1022_pOme1_DNA1"	"EOC1022_pPer1_DNA1"	"EOC1067_pOme1_DNA3"	"EOC1067_pOvaR1_DNA1"	"EOC1067_pPerR1_DNA1"	"EOC1067_pTubL1_DNA1"	"EOC1091_pOme1_TR_DNA"	"EOC1091_pOvaR1_TR_DNA"	"EOC124_pOvaL1_TR_DNA1"	"EOC124_pOvaR1_TR"	"EOC133_pAsc1_DNA1"	"EOC133_pOme1_TR_DNA"	"EOC133_pOvaL1_DNA1"	"EOC148_pAdnL1_DNA1"	"EOC148_pAdnL3_DNA1"	"EOC148_pOvaL4_DNA1"	"EOC148_pOvaL5_DNA1"	"EOC192_iOme1B_DNA2"	"EOC192_iOme3A_DNA1"	"EOC192_iOvaR1A_DNA1"	"EOC192_pAsc1_DNA1"	"EOC192_pOme1A_TR_DNA1"	"EOC192_pOme2B_DNA2"	"EOC192_pOvaR1A_DNA1"	"EOC192_pOvaR1A_DNA3"	"EOC192_pPer1A_DNA2"	"EOC192_pPer2B_DNA1"	"EOC293_pAdnL1_DNA1"	"EOC293_pMes1_DNA2"	"EOC293_pOvaR1_DNA2"	"EOC372_iOme1_DNA1"	"EOC372_iPer1_DNA1"	"EOC372_pPer1_DNA1"	"EOC523_pOme1_DNA2"	"EOC523_pOvaR1_DNA2"	"EOC561_pPer1_DNA1"	"EOC561_pPer1_DNA1_bgiseq"	"EOC63_pOme1_DNA1"	"EOC63_pOvaR1_DNA1"	"EOC667_pMes1_DNA1"	"EOC667_pOme1_DNA2"	"EOC77_iOme1_DNA1"	"EOC77_iOme2_DNA1"	"EOC77_iPer1_DNA2"	"EOC77_pAsc1_DNA1"	"EOC77_pOme1_DNA3"	"EOC779_pOme1_DNA1"	"EOC779_pOvaL1_DNA1"	"EOC779_pPer1_DNA1"	"EOC863_pMes1_DNA1"	"EOC863_pOva1_DNA1"	"EOC879_p2Ome1_DNA1"	"EOC879_p2OvaL1_DNA1"	"EOC879_p2TubL1_DNA1"	"EOC914_iOme1_DNA1"	"EOC914_iOvaL1_DNA1"	"EOC914_iPer1_DNA1"	"EOC984_pOme1_DNA1"	"EOC984_pPer1_DNA1"
"del5"	4	5	7	0	0	1	6	2	1	3	2	3	4	3	3	3	9	10	9	11	1	0	1	0	2	3	1	0	2	2	6	8	6	5	2	1	1	0	9	5	14	2	8	6	1	1	2	1	0	1	3	4	1	4	2	3	4	3	7	4	1	1
"dup1"	3	3	2	3	3	4	3	1	3	3	2	5	6	3	1	3	9	8	6	9	0	0	4	2	1	1	3	2	2	1	5	2	1	7	2	4	5	4	9	4	16	1	4	4	2	3	4	3	2	0	2	1	0	1	4	10	7	1	1	1	2	2
"dup2"	7	7	5	2	8	4	20	5	7	11	10	76	55	2	1	2	155	139	121	158	0	0	3	0	1	1	3	3	3	4	15	11	7	106	51	64	2	1	14	8	167	56	156	144	9	5	8	7	7	0	4	3	6	9	15	59	55	15	18	16	6	6
"dup3"	4	5	3	21	37	8	91	2	4	6	5	64	39	1	2	1	15	14	14	17	7	6	23	16	26	27	23	24	21	28	226	152	158	10	3	5	9	8	178	141	101	44	56	51	39	45	43	30	39	0	4	1	6	5	52	157	140	34	34	31	15	15
"dup4"	4	5	2	1	3	3	13	5	4	3	3	8	10	6	5	5	20	18	19	21	5	3	10	6	8	8	10	10	8	10	158	131	111	29	10	14	2	1	152	110	31	20	14	14	3	3	4	3	1	4	4	5	1	1	8	21	25	3	3	3	0	0
"ins"	2	0	0	1	1	0	0	0	0	1	0	0	1	3	2	4	4	1	2	2	0	0	0	0	0	0	0	0	0	0	4	2	0	2	1	0	0	0	1	0	9	0	1	0	0	0	2	0	0	0	1	0	0	4	1	2	2	2	1	2	0	0
"recip_inv"	0	1	1	0	0	1	3	1	1	2	0	1	1	0	0	0	2	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	7	4	8	1	2	4	1	1	1	1	1	2	5	3	0	2	0	2	3	1	2	2	1	1
"recip_trans"	0	0	0	1	1	0	1	0	0	0	1	0	2	4	5	5	5	3	5	6	0	0	0	0	0	0	0	0	0	1	1	0	1	2	1	0	2	2	3	2	8	3	11	9	2	1	2	1	1	3	9	7	0	1	1	2	1	0	1	0	0	0
"unbal_trans"	10	6	0	3	3	6	6	8	11	10	8	10	11	17	10	13	21	23	18	14	1	2	3	3	3	4	3	3	3	4	3	2	2	10	9	8	1	2	4	4	14	20	8	8	1	0	0	1	1	2	7	7	5	4	9	21	16	6	12	8	1	1
"LINE"	34	29	16	0	0	13	14	3	6	1	0	4	2	11	6	7	30	32	20	27	0	1	4	1	2	2	3	3	3	4	1	0	1	4	0	0	0	0	2	0	20	0	2	0	2	1	3	3	3	1	3	2	3	12	7	8	4	39	16	17	3	5
"del_magnitude"	1.13282575928935	1.11649976848693	1.14839594787163	1.46973289666634	1.44482333071544	1.50603320420679	1.18368915820126	1.333790039843	1.2288134560434	1.2236608394248	1.21591016009561	1.59484242618017	1.42256502737593	1.33443226813077	1.38094348279069	1.33995623989492	1.29703972872968	1.32797412620594	1.45252313835005	1.42769883305512	1.36662331797059	1.34094830714203	1.5282953429875	1.22292555182201	1.42364065073391	1.53041036256728	1.51825774630073	1.51441733757235	1.3528097898891	1.10317577971524	1.1835322906379	1.18964321131551	1.17932604781416	1.35973380467891	1.38574259289311	1.36772478012532	1.03048498101272	1.05412239952188	1.09537962666015	1.09501300298801	1.55303378453555	1.49662863401962	1.46871153506613	1.57816465325007	1.14724945452495	1.13698719235284	1.11941721685271	1.1345308957215	1.07834928414536	1.8287472822383	1.63555377836394	1.71484909112811	1.07691013208777	1.05860951258936	1.23122809137052	1.22117376272998	1.22621308885518	1.33027033178212	1.27974542911174	1.30800615109333	1.58289865063872	1.57467302575674
"dup_magnitude"	1.70029802282402	1.69464605668368	1.80066854684541	1.41404359208816	1.38200454872844	1.37538989804124	1.47568192163041	1.44132901479562	1.5752405918829	1.66530436571942	1.74672440325802	1.51661296844505	1.33690504337975	1.53767566919768	1.52738150458643	1.5804271335245	1.54225688039694	1.52025793434161	1.42417029389527	1.45565101782082	1.48489192383534	1.46966051641694	1.53218176250346	1.48170811948701	1.48147873088825	1.47376104674439	1.53109999374082	1.53441723342453	1.54589035410868	1.89098315324781	1.51035051091775	1.4974363815483	1.48217387689817	1.49966703815508	1.53305778156851	1.51514495334547	2.05173030276798	1.98845340566728	1.59440053951815	1.58165162812796	1.46848652077463	1.47077635693057	1.45476820788337	1.47498427513861	1.337947872856	1.34786069367407	1.45575639815554	1.50751669155959	1.35525670306668	1.16420542225606	1.23311126569677	1.15834853530462	2.26404283387597	2.21810278482865	1.63690660359121	1.5739253347176	1.50976910663188	1.51798335613544	1.48857417113723	1.46931958955626	1.17640937376175	1.19009263324635
"chrtps"	0	0	0	0	0	0	3	0	0	0	1	7	5	11	10	11	3	2	4	4	0	0	1	0	0	0	0	1	0	1	3	2	4	7	2	1	1	0	4	4	5	2	9	11	0	0	1	0	1	7	11	9	0	0	1	2	1	4	3	2	4	3
"segsize1"	139	122	87	28	59	70	116	43	63	114	89	273	254	311	256	279	528	492	328	438	9	6	33	14	23	25	27	29	35	51	117	81	81	225	114	144	306	286	183	130	1096	223	295	257	46	51	61	21	29	174	468	327	67	137	105	154	147	116	94	89	53	52
"segsize2"	210	238	178	41	81	105	284	108	220	302	252	325	228	147	142	134	532	490	352	476	16	19	40	35	42	46	38	39	60	101	488	504	407	273	152	214	115	98	370	291	1038	235	352	311	86	69	84	62	90	53	135	104	183	320	285	708	616	371	371	354	63	62
"segsize3"	343	351	246	141	200	255	472	241	291	409	340	540	527	444	419	407	781	753	654	759	131	137	157	163	155	162	153	153	173	184	952	1014	918	527	363	441	192	181	760	741	1278	510	623	564	198	183	211	178	197	292	551	446	260	306	393	715	656	443	429	434	161	165
"fiveMB1"	29	30	46	66	46	43	14	49	41	25	33	9	8	13	14	14	5	5	7	6	73	75	67	50	65	60	67	70	61	54	4	5	5	10	23	16	55	62	7	7	4	8	8	7	43	51	47	60	59	22	3	10	61	41	29	10	10	13	11	15	53	55
"fiveMB2"	70	66	71	61	68	66	67	61	64	60	67	36	46	56	56	61	24	22	32	23	58	54	56	77	61	65	57	51	61	65	27	20	26	43	63	50	63	59	36	38	5	47	33	43	81	73	68	64	63	77	37	47	48	62	51	30	30	63	73	61	68	65
"fiveMB3"	28	30	10	5	17	20	40	20	19	38	25	69	71	58	58	50	55	64	70	60	2	4	10	6	7	8	9	12	10	13	62	58	72	67	41	60	10	8	66	69	32	70	66	67	7	8	15	8	9	34	75	69	15	16	43	61	75	40	37	44	12	13
"fiveMB4"	3	4	4	1	2	4	12	3	8	7	5	19	8	5	4	7	44	36	24	43	0	0	0	0	0	0	0	0	1	0	40	50	30	13	6	7	4	3	24	19	65	8	24	15	2	1	3	1	2	0	18	7	7	12	9	30	15	16	11	13	0	0
"fiveMB5"	3	3	2	0	0	0	0	0	1	3	3	0	0	1	1	1	5	6	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	27	0	2	1	0	0	0	0	0	0	0	0	2	2	1	2	3	1	1	0	0	0
"osc1"	407	425	308	75	107	144	317	177	296	444	395	339	460	343	356	263	842	737	551	670	58	58	75	71	68	73	67	61	112	153	575	826	520	421	329	405	296	278	493	415	1462	479	413	278	167	162	114	100	92	179	217	211	339	388	367	798	756	464	499	478	95	87
"osc2"	34	34	21	9	18	33	56	18	34	44	41	77	63	41	41	48	114	121	97	111	8	7	6	12	8	12	7	9	11	13	96	93	93	67	24	49	36	22	84	65	205	46	81	76	10	11	27	13	11	25	38	38	13	40	57	88	84	51	46	42	12	14
"osc3"	4	3	2	0	4	6	17	2	3	8	6	37	8	26	15	22	25	26	17	26	0	0	5	4	4	4	4	4	3	3	44	30	39	15	4	6	7	11	39	41	85	4	39	42	0	1	3	1	7	11	48	35	3	11	8	16	12	16	9	12	4	4
"bpArm1"	9	9	11	17	9	7	5	8	8	8	8	5	4	5	6	6	5	5	5	5	19	16	15	13	17	16	15	17	14	7	5	5	5	5	5	5	14	15	6	6	5	5	5	5	10	15	12	15	14	8	5	5	15	9	8	5	5	5	5	5	11	13
"bpArm2"	13	12	21	24	20	19	10	23	15	13	18	5	4	4	5	6	2	1	3	0	26	26	23	28	23	22	25	21	20	26	2	1	2	4	14	8	16	19	3	3	0	7	5	5	20	16	14	20	19	13	2	6	15	19	6	3	4	10	10	10	25	21
"bpArm3"	18	19	10	4	16	18	16	14	18	14	12	16	24	24	26	23	13	15	16	16	1	4	8	5	6	8	6	8	12	12	12	13	14	21	19	20	13	9	13	16	3	20	16	18	15	14	19	11	11	21	20	23	13	9	24	12	14	14	17	17	10	12
"bpArm4"	6	6	4	1	1	2	15	1	5	11	8	20	14	13	9	11	26	25	22	25	0	0	0	0	0	0	0	0	0	1	27	27	25	16	8	13	3	3	24	21	38	14	20	18	1	1	1	0	2	4	19	12	3	9	8	26	23	17	14	14	0	0
"chg1"	172	171	90	32	37	28	65	41	103	66	201	102	163	138	135	88	170	119	112	120	28	32	45	54	37	43	39	33	87	38	81	228	90	80	37	75	99	100	177	99	963	69	212	89	50	92	65	49	55	57	141	91	58	91	78	92	103	136	192	127	60	56
"chg2"	330	344	205	31	160	289	634	212	300	338	360	859	523	584	482	546	1036	1029	659	979	96	98	156	130	152	151	146	156	154	113	1233	1096	1077	553	245	367	390	310	945	875	2231	220	942	907	124	178	250	167	227	291	907	617	181	406	462	657	552	522	441	477	186	191
"chg3"	106	115	115	113	112	68	105	74	97	315	83	158	291	120	136	127	530	487	476	470	11	12	5	6	6	14	8	11	4	128	230	297	226	299	254	274	80	109	158	166	200	501	102	115	119	12	16	24	13	133	80	138	134	129	158	611	587	153	159	168	10	11
"chg4"	63	56	74	12	9	26	32	40	49	87	17	12	18	36	42	36	107	98	89	90	2	3	3	3	3	4	3	3	3	38	26	39	23	68	85	79	26	29	20	21	10	171	2	4	20	0	3	2	2	20	8	18	117	106	59	171	136	94	81	93	1	1
"chg5"	17	17	15	0	0	2	22	4	7	18	12	2	3	6	7	6	5	1	5	10	0	0	0	0	0	0	0	0	0	4	0	1	0	14	9	8	3	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	17	15	26	34	38	20	6	5	0	0
