MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G
74.0	0.11382843717932702	0.12534490741789342	0.025602334151044532	0.04937045032158494	0.047927602273472134	0.03157067178895852	0.02572884430526756
133.0	0.00692558642316726	0.0013714247103780509	0.040218080366030334	0.0413402417791076	0.005638160440260311	0.1333291207626462	0.021407135450281202
83.0	0.013026390401646494	0.017006915402598678	0.03269066922366619	0.024331550654023884	0.016632749191485344	0.006934444307116792	0.007946766065433621
201.0	0.11297987468540668	0.12722194209694862	0.08456148829311133	0.08384630803018808	0.13618394009768964	0.060940875532105566	0.05033927280455828
48.0	0.005606549435760826	0.0024948134207807018	0.009775705128558911	0.004958924142418084	0.01657373133348301	0.0034600048449647145	0.013504228093661369
32.0	6.975131327635609e-06	0.0013664770809022064	0.012306227117969559	0.0036424235760932787	0.017303867124865063	0.0074790630431380125	0.021594059416092933
11.0	0.0624247722979635	0.0015380663314135746	0.0001169382847729139	0.007236873665268102	0.017689492869425862	0.0004784859245410189	0.001491547203787178
7.0	0.028464636420831083	0.0005501727911180688	0.0025617941765813156	0.003974223361583426	0.0032475063094170764	0.00039296381298385084	0.0027325738171930427
4.0	0.010365524985827506	0.003080084136408914	0.00951651211711578	0.003911880780506181	0.0023928186678676866	0.0001736365355822045	0.00014762874947336967
10.0	0.0008021541960247802	0.004727047651904286	0.014432910243049263	0.004391422843036707	0.003110212896062876	9.913854457408888e-05	0.003732198919076417
4.0	0.0009244236434460618	0.0015153967108562938	0.0017782813924713992	0.00026071347040868887	0.0011606475280132144	0.0011601852828607663	0.0006510823276767317
3.0	0.00047070548620467887	0.0018889032813603989	0.0004054055918231825	0.0009899414450046605	0.0019491269301215653	0.00018735996354735107	0.0027926930534886195
7.0	0.005436246850877069	0.023659756024171655	0.0009745033160288585	0.014042811686993275	0.01930189421516843	8.22342228565276e-05	5.347697396018702e-10
4.0	0.0	0.052442215951159596	0.00039743397253914735	0.0017459872538165655	3.371593251363782e-05	0.01693176290486008	0.017286286363378166
4.0	0.0006898685708806674	0.013215422437206144	4.892313248447522e-05	0.0025874220131765924	0.0006795745507869811	0.024343389775604008	2.9939107577234836e-05
2.0	0.0004456844115338754	0.00028351856490189676	0.00045721700611466075	0.000294096160430648	0.00022140088177870608	0.00019489309203587956	1.761288343319123e-05
0.0	0.000637480189470807	0.00080195288061077	0.0005898998285920243	5.375564297537494e-05	0.0003560563325645205	0.0001477057050280628	7.041295357522515e-05
0.0	0.0019837152573745696	0.0005507934805609693	2.1771305934805696e-05	0.0001950662957096938	0.0007728890024918656	3.426134298933903e-05	0.00031305149969998555
10.0	0.0025769486173521728	0.0009397999885459286	0.002430808593649081	0.005636159391142428	0.00094664107542485	0.0002928803497889021	0.003033033697865903
34.0	0.000608160262072488	0.0011201716143841621	0.007865213667229937	0.00013478353161190172	0.002845585570014464	2.9445165359902603e-05	0.0022508783716790504
1.13282575928935	0.0004093141540397482	0.00018833189960787422	0.00020152847184363076	0.0002349518219125457	0.00011554877983144252	0.0002471241572118288	0.0026025027700234205
1.70029802282402	0.0002964202652219683	0.0001701013771344151	0.00036411764842341653	0.00032147968831850446	0.0002246932945536173	0.0003217035562411752	0.002902384471381083
0.0	0.0034795325715094804	0.0007799921691912459	0.000217986338338676	1.8902325542544673e-05	0.00022768319258339886	0.0003420573669542648	4.5220043603357853e-05
139.0	0.11061634037643671	0.013830702383298523	0.027929680850356818	0.04394843656569719	0.12090979065746069	0.00799506973725002	0.009935534399337484
210.0	0.02056679841596633	0.1158362664654851	0.13198921274393796	0.08004953926429152	0.0675877127982676	0.06442590389400721	0.007322605262021256
343.0	0.13295922182500364	0.13353824354708194	0.1084974180907011	0.12363568633794784	0.06812009245157241	0.18747554451227189	0.20747949987649916
29.0	0.000101178165350575	0.00027185894158967134	0.000992486204047509	0.0011940773857259045	0.0006746361198747764	0.0004429612058811585	0.12123752385377884
70.0	0.009731687889434397	0.002019690590823302	0.010815951998811215	0.006571411901022657	0.0010337279364466666	0.005006169877015054	0.14472724258899688
28.0	0.019679914619773628	0.010440423574041935	0.00746697408707405	0.017300328388810158	0.0027170331336133146	0.013049265197478234	0.006151305056409911
3.0	0.002465592524386011	0.005816947508137673	0.0035110270051518454	0.0019430442935845348	0.0038986203994136304	0.006431363997980952	0.0
3.0	3.1832989514555265e-05	0.00016412372555480337	0.0009598129745427286	4.535091310208017e-05	0.0011391825841300118	6.610215663727104e-10	7.390886172231603e-07
407.0	0.044827559762634334	0.06539556372910738	0.1720418828725815	0.16946076691150666	0.13561490159481765	0.13000211022794247	0.05566733077168465
34.0	0.012695355797186494	0.019881033282727004	0.014978977302089334	0.011988830864429473	0.01813921418040991	0.01535327173769474	0.00436018486667308
4.0	0.009834053637459874	0.00727538378268946	0.0018888837356644218	0.0	0.004831251163239471	0.00462041170368856	3.536622274822321e-06
9.0	0.0008126921053371916	0.0006591006349481177	0.00046627512705526897	0.0007130964599491563	0.0006056112510577805	0.0007668808470316435	0.027968520410358907
13.0	0.00015801905578063824	7.91391987642065e-05	0.0008635441391504628	0.00035392797563549294	1.6765627451906793e-05	0.000122614601169177	0.04802053105086088
18.0	0.006286670831032098	0.0009034640484605915	0.0036619054176844656	0.004532608862500637	0.0006003151120535673	0.003290944675100036	0.019671133793890475
6.0	0.0037611816031858326	0.0043216506997123365	0.0032013857990386895	0.0036200408969307317	0.0018820592783121714	0.004646258227294311	0.0
172.0	0.02918621024116874	0.010978558691953709	0.05798739086138085	0.0012011733047984307	0.06685732018318959	0.025968495020642877	0.0580178640037775
330.0	0.205580707937479	0.1973876415938139	0.14835112743079662	1.8830109807625553e-29	0.18938609063625336	0.18661280829459428	0.10719179674983025
106.0	0.018256961003644392	0.028872637891327033	0.02619587041437626	0.21898346439003943	0.016603760560974477	0.04818876177072525	7.96691445453801e-14
63.0	5.862079320650082e-05	6.935315463948654e-05	0.023874330442357917	0.05639227405190468	0.0032622282070951768	0.00640696216840297	0.0016253085336938966
17.0	0.0	1.4649964446000752e-08	0.006790116036301939	0.004545566668908236	0.0005841443647692301	2.079310423857006e-05	9.744721891635778e-09
