Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H
EOC863_pMes1_DNA1	1.69E+01	7.62E-01	7.55E-01	1.79E+01	2.53E+01	1.40E+01	1.25E+01	3.51E+00
EOC863_pOva1_DNA1	2.48E+01	7.67E+00	4.33E+00	2.34E+01	3.25E+01	1.55E+01	2.10E+01	3.07E+00
EOC879_p2Ome1_DNA1	2.05E+01	1.13E+01	1.10E+01	1.68E+01	3.10E+01	1.46E+01	1.75E+01	3.69E+00
EOC879_p2OvaL1_DNA1	4.96E+01	1.36E+00	2.79E+01	4.38E+01	5.89E+01	1.85E+01	1.32E+01	1.34E+00
EOC879_p2TubL1_DNA1	4.04E+01	2.00E-01	2.11E+01	3.64E+01	4.86E+01	2.03E+01	8.54E+00	1.78E+00
EOC914_iOme1_DNA1	3.81E+01	1.46E+01	8.01E+00	2.93E+01	4.04E+01	2.36E+01	1.98E+01	3.84E+00
EOC914_iOvaL1_DNA1	3.25E+01	1.17E+01	7.40E+00	2.95E+01	3.37E+01	2.33E+01	1.78E+01	4.17E+00
EOC914_iPer1_DNA1	3.13E+01	1.31E+01	6.21E+00	2.72E+01	3.71E+01	2.05E+01	1.71E+01	3.64E+00
EOC984_pOme1_DNA1	1.17E+01	9.56E+00	5.56E+00	3.70E-01	8.89E+00	3.22E+00	7.69E+00	3.28E+00
EOC984_pPer1_DNA1	1.19E+01	8.67E+00	5.41E+00	4.72E-01	8.03E+00	4.08E+00	5.45E+00	4.15E+00
