NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	695.521	24.2	192.56	22.452	0.068	0.961	30000.0
2	643.429	24.742	169.862	22.219	0.078	0.962	20000.0
3	694.475	24.179	191.966	22.192	0.068	0.962	20000.0
4	691.477	24.126	191.48	22.11	0.067	0.962	20000.0
5	684.751	23.813	191.839	22.064	0.067	0.962	30000.0
6	663.134	24.961	175.832	22.447	0.077	0.961	40000.0
7	703.211	28.829	179.25	24.906	0.108	0.949	20000.0
8	691.911	23.848	192.114	21.956	0.066	0.963	30000.0
9	645.661	24.579	170.651	22.154	0.077	0.963	20000.0
10	637.66	24.419	168.575	21.924	0.076	0.963	40000.0
11	709.903	28.945	183.31	25.17	0.107	0.948	50000.0
12	650.359	24.227	170.946	21.826	0.075	0.963	30000.0
13	709.387	29.004	183.436	25.303	0.109	0.948	20000.0
14	645.782	24.706	168.84	22.05	0.078	0.962	40000.0
15	699.224	24.337	194.651	22.38	0.069	0.961	30000.0
16	700.587	24.618	193.467	22.592	0.069	0.961	40000.0
17	695.53	24.23	193.629	22.456	0.069	0.961	20000.0
18	702.079	24.458	196.377	22.656	0.069	0.961	70000.0
19	637.665	24.344	169.944	22.105	0.076	0.962	30000.0
20	652.948	24.716	172.29	22.289	0.077	0.962	40000.0
21	682.721	23.961	188.445	22.063	0.068	0.962	20000.0
22	705.242	24.51	194.081	22.31	0.068	0.962	30000.0
23	643.437	24.583	169.929	21.999	0.078	0.963	20000.0
24	701.795	24.666	194.247	22.617	0.07	0.96	50000.0
25	693.178	23.947	191.927	21.94	0.066	0.963	30000.0
26	696.728	24.523	191.95	22.4	0.069	0.961	20000.0
27	691.963	24.278	192.251	22.446	0.068	0.961	40000.0
28	692.37	24.229	191.133	22.317	0.067	0.962	20000.0
29	695.387	24.276	193.638	22.487	0.069	0.961	20000.0
30	650.547	24.57	171.314	22.105	0.076	0.962	30000.0
31	651.722	24.429	173.295	22.237	0.075	0.962	20000.0
32	654.604	24.68	173.138	22.259	0.076	0.962	20000.0
33	656.435	25.045	173.325	22.531	0.079	0.961	20000.0
34	690.096	24.35	190.977	22.438	0.069	0.961	20000.0
35	642.823	24.554	169.928	22.138	0.078	0.962	20000.0
36	690.513	24.144	192.782	22.401	0.067	0.961	20000.0
37	691.312	23.961	192.427	22.133	0.067	0.963	30000.0
38	696.588	24.434	193.191	22.509	0.068	0.961	20000.0
39	702.108	24.251	195.443	22.291	0.068	0.962	30000.0
