Sample Names	MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.2087594947223606	0.5373234634978186	0.07170455835130697	0.06319042534497842	0.11902205808353547
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.062417897028348074	0.2846517284169575	0.5797166311740549	0.020405262727713442	0.052808480652926176
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.10966763737193223	0.6645344386932137	0.04310425296080372	0.13165336166081676	0.05104030931323357
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.1151553328543163	0.37357564996085163	0.09315827543121728	0.3521536293236429	0.0659571124299719
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.0805381808329944	0.148365293307995	0.041992328714570794	0.6125478044975224	0.11655639264691743
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.03698774889120634	0.18000052786441498	0.09563357691000185	0.523910005139835	0.16346814119454192
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.4860526191760377	0.014091624690398345	0.03280093813878143	0.364669691396252	0.10238512659853055
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.2421915521130363	0.4460273573384508	0.0287201235924677	0.1367741778019698	0.14628678915407545
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.049528847123729895	0.8686822404767733	0.01034563132039393	0.06934501858632904	0.0020982624927738574
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.03647970219827306	0.7902586862868729	0.003166745717115102	0.11076091546448684	0.05933395033325217
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.012610574772889788	0.6095377094653234	0.17729614840080363	0.1146392321967349	0.08591633516424836
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.13494405009327906	0.07102549063859559	0.003207603197243284	0.45499657670723154	0.33582627936365045
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.4016991991304358	0.5965439776980522	0.0017567071911422033	0.0	1.1598036975737549e-07
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.07765038799837339	0.08636251488295585	0.159132279824937	0.004463676004833626	0.6723911412889001
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.03544664864660845	0.001896361681842775	0.9521742324703596	0.008426235412728265	0.002056521788461063
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.09403273806163343	0.7216289359272116	0.0815888482793474	0.09139321374580654	0.011356263986001038
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.01847008082735986	0.738495340414142	0.009945859326016205	0.20833988517699265	0.02474883425548934
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.1650457459027068	0.003507766271443666	0.0033133088366067345	0.6906987194759121	0.13743445951333053
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.26097923881881613	0.5262925007978256	0.02337617861200818	0.023050486597528147	0.16630159517382204
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.0	0.8642368657398065	0.006385059726441106	0.03040966788584527	0.09896840664790699
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.054543383046538656	0.1591643454744808	0.092906711746579	0.04246469308401103	0.6509208666483906
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.054377339421790453	0.19072328644820705	0.08744944629892107	0.11165053558473788	0.5557993922463436
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.0424044402175608	0.512986120174281	0.23677416841838084	0.1902674998076014	0.01756777138217599
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.14558512786140534	0.06550442181153912	0.031527001685560864	0.7522850098589607	0.005098438782533743
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.07940694440253351	0.6576211647390926	0.12302022008511228	0.12293423414216935	0.01701743663109231
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.09856265691809887	0.3478864864309162	0.26781222175842206	0.0803630988901517	0.2053755360024113
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.010517206732150609	0.012655737897832382	0.006631501770960487	0.00881379034266862	0.9613817632563878
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.032841431025060895	0.18107299510761812	0.03828193772389377	0.009014673020524153	0.7387889631229031
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.2432235177570036	0.42733836917363943	0.23420252017190096	0.01586878800206627	0.07936680489538978
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.03400724749418525	0.5145296396386286	0.3848694817664833	0.06659363110070285	0.0
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.0047647504325492125	0.6238385693420329	1.990444984703406e-06	0.37139316814170276	1.5216387304526877e-06
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.11250907661522365	0.4355700450820314	0.17875213198441756	0.22956838587183148	0.043600360446496
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.08786714389164213	0.4332415604819016	0.19968791385769563	0.23769112309026533	0.041512258678495256
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.0	0.20328903819310706	0.21788105436921706	0.5788298247913477	8.264632811335602e-08
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.025600840846804054	0.022611869870754767	0.03024130329083408	0.04340526839483293	0.8781407175967743
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.0069305443957563325	0.04733014347237026	0.005484358358612865	0.0001206667685291183	0.9401342870047315
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.10923291581074965	0.26684576342670013	0.11632479456685892	0.040576110769643695	0.46702041542604766
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.11839725959225274	0.5680346994140374	0.2782593642599328	0.03530867673377711	0.0
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.0017133122467834965	0.3686163151575291	0.12403892450069656	0.36985925810669623	0.13577218998829454
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.0	0.3639082218832013	0.2332084892931101	0.3111351157402959	0.09174817308339277
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.5136532272928099	0.29296509054126085	0.17814779559297883	0.015233886572950397	0.0
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.2812848349075047	0.6164414641576031	0.06020964310407677	0.032156290248421746	0.0099077675823938
EOC1003_p2OvaL1_TR_DNA		0.0	0.0	0.0	0.08218866795909896	0.9029020607084475	0.005964131650042141	0.008944737920662174	4.0176174933848263e-07
EOC1003_p2OvaR1_DNA1		0.0	0.0	0.0	0.33627020973560395	0.4833512178535922	0.0	0.03924524610919465	0.1411333263016092
EOC1003_p2OvaR1_DNA1		0.0	0.0	0.0	0.23279511844457487	0.5928753799516081	0.0	0.02934273207833154	0.14498676952548548
EOC1003_p2OvaR1_DNA1		0.0	0.0	0.0	0.192700040433362	0.652087184476851	0.0	0.08919261394865374	0.06602016114113322
EOC1003_p2OvaR1_DNA1		0.0	0.0	0.0	0.22663491486465184	0.41058792858271226	0.0	0.2672197487093764	0.09555740784325942
EOC1003_p2OvaR1_DNA1		0.0	0.0	0.0	0.16593170690777137	0.17070440905656575	0.0	0.4865877521137783	0.17677613192188468
EOC1003_p2OvaR1_DNA1		0.0	0.0	0.0	0.08043542900551229	0.21859897166532247	0.0	0.4392783452279626	0.2616872541012026
EOC1003_p2OvaR1_DNA1		0.0	0.0	0.0	0.6846830021510251	0.011085420720469303	0.0	0.19806126500939508	0.10617031211911065
