MutationType	CH43A	CH43B	CH43C
74.0	0.05108077032491565	0.1015054263919592	0.0377968873269856
133.0	0.04873392514884472	0.005962659935466946	0.03902762008830905
83.0	0.023786454033106565	0.015058215269818901	0.011889581084251404
201.0	0.0893525529652834	0.119488824903965	0.0780173110216856
48.0	0.006377921500243247	0.006231114300899208	0.012013909709639847
32.0	0.007525284639559687	0.001198022728349315	0.0186635283799842
11.0	0.00034582892948128237	0.046277199499309064	0.0006023616692370126
7.0	0.0009733662454527803	0.019104663133621216	0.0016599262554518645
4.0	0.004802107191644609	0.008142139459960163	0.0004566555404802131
10.0	0.007312780246138573	0.0016110476868925617	0.004418632588931359
4.0	0.0010909794829785824	0.0011402721074409783	0.0010395432703080587
3.0	0.0008246047890861518	0.0010916041169548407	0.00173723932239227
7.0	0.0065047797549050304	0.01988526335917413	8.041693217819557e-05
4.0	0.014404760490069748	0.001101322059839731	0.023969658520072698
4.0	0.007277660123072564	0.0006418886687106351	0.008775597545318306
2.0	0.0003410681064269738	0.00039544437837321314	4.0266114648392915e-05
0.0	0.000316543035878567	0.0005941202989197336	0.0003138840770452589
0.0	5.8110612655322136e-05	0.0015563380112871528	0.00023985146473933127
10.0	0.002639548487495631	0.002342818052275106	0.001811145605170168
34.0	0.0029013198462780566	0.0014759374660206959	0.002285087853051664
1.13282575928935	0.00018422098968585488	0.0003008690276510606	0.0012881320288579445
1.70029802282402	0.00029017842509347245	0.00023364717613731046	0.0015266658887412633
0.0	0.0001634864785614809	0.0021814276406075805	0.000213395607337179
139.0	0.023615089673548938	0.10382152691483498	0.026356730917468665
210.0	0.10559273980557919	0.04603562811389565	0.050711769983172415
343.0	0.13053820863366128	0.11262388817965985	0.1660140125453472
29.0	0.0005465019427187532	0.0015135507438635328	0.051388939416792706
70.0	0.005012186255771667	0.006541127231903374	0.06880800019251182
28.0	0.012082935627549887	0.013526154747232795	0.007910966742783784
3.0	0.004892763325478881	0.0033593134488910437	0.0009432508971076458
3.0	0.0003382930597581435	0.0005215731948555913	6.884331479664496e-05
407.0	0.14724454239010812	0.0745359443873167	0.09289464637637139
34.0	0.015840142369270324	0.014925820976495743	0.010647710184566677
4.0	0.0023506771574466285	0.00752284748479724	0.003470941015984863
9.0	0.0004876175447543574	0.0009290992705064127	0.012496367910935079
13.0	0.00023297668047435612	0.0005073193505061248	0.02059423507311294
18.0	0.002868245409335941	0.0040738935628905895	0.010549950525164603
6.0	0.004531324327690527	0.0033936518104746936	0.0005875575315076276
172.0	0.018352039298042654	0.03777785189449787	0.05497926853597164
330.0	0.1151138012111187	0.1829474027454853	0.16317644581198693
106.0	0.09846250146627426	0.02705185442697257	0.00766206128639169
63.0	0.030232213605195284	0.0008712796007603174	0.002870925094903214
17.0	0.0043769548065029085	5.313911577431441e-10	8.229126412295784e-08
