MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F
74.0	0.11120547905564308	0.11088974658399821	0.01863445843743648	0.0487981837708503	0.039344364372385615	0.028369119144044816
133.0	0.008484908394748344	0.005035600317642115	0.02089495997556696	0.048785099890083075	0.11712165009230376	0.019715107968077062
83.0	0.012128132921643555	0.018999411021359266	0.02793963982723653	0.02731622729450464	0.008014483866281808	0.006958793801022694
201.0	0.11783774882555008	0.12348702989518642	0.10943217925727368	0.07595187030732632	0.06830268676392734	0.05719605296850205
48.0	0.005747832206543535	0.003216906905581709	0.01555399582721293	0.004271240577800199	0.004550214949558722	0.014023287962190807
32.0	4.061324278154643e-05	0.0024896614474710075	0.01818202305585146	0.0038745386389928173	0.008474663475062698	0.022421840466558932
11.0	0.06066579762846232	0.001229486915135567	0.0005037773602816742	0.0068071685812864866	0.00045060085842123953	0.001853142571827533
7.0	0.02427714107558131	0.0005753137507802464	0.0019325572479283438	0.004354523560032249	0.00023944704529640148	0.0027324959496036172
4.0	0.00828620073851198	0.005157210869365372	0.006640445657249075	0.004642427287762985	0.0002757162175426233	0.00010896013073761423
10.0	0.00039858215879576167	0.007137784366441338	0.0109031912102364	0.005293523538275622	0.0002782249165102257	0.0030033880464839058
4.0	0.0010572549109929242	0.0015252272997895487	0.0015147696542408085	0.0004705466339204811	0.0011510982813433656	0.0006449741417664967
3.0	0.0006440846942859935	0.001927351603662828	0.0011589160258154152	0.0007518968581848806	0.0002945021930645453	0.002712571141310036
7.0	0.012579692148719915	0.025149421560345216	0.00044069324270822106	0.014141115705386368	0.0001637388479179691	2.204467488553519e-09
4.0	0.0	0.03945885488210479	0.0	0.0010308336565503851	0.02340863285586238	0.018613389080855997
4.0	0.0014048137628560652	0.010277917901985347	0.00010659590421710163	0.0021035236290481408	0.02229351405519992	0.0001044840062968433
2.0	0.0003747346180716704	0.0003121271039162821	0.00039304629290204504	0.00031697966840011027	0.0001619035717991135	7.793018996302691e-06
0.0	0.0005531714788230602	0.0007478297744819429	0.000555367797886106	6.056852399069612e-05	0.0002168265270666403	0.00012704332549894496
0.0	0.0018608572776429356	0.0004328969519610837	0.0001439171055699262	9.484694747990407e-05	7.613625937665347e-05	0.0005116155744259742
10.0	0.0022893460612976924	0.0011704387398938552	0.001141532613473828	0.005755360438488424	0.0002537700628090533	0.0031008414400275795
34.0	0.0004783658229553112	0.002351488199333289	0.007472403995925561	0.0005175778104103302	0.00013763749352619926	0.0014182105126383248
1.13282575928935	0.0003188600180692447	0.00017172580305729212	9.396120129167684e-05	0.00026818178871053534	0.00023540459998457663	0.0026589429483283313
1.70029802282402	0.0002026671677504055	0.00021393790214062846	0.0003429652316170007	0.0003722285649564583	0.00026330782440481926	0.002890986705897376
0.0	0.002810023399069905	0.0006675930534861152	0.00018584773622704276	1.2152200248164333e-05	0.0004055470532151695	3.762022605361182e-05
139.0	0.11508034020662308	0.016524127408101167	0.07331239748746157	0.02943294241093099	0.010003656655317272	0.01865638856543228
210.0	0.0223475589370355	0.1220907486975193	0.11459337379783392	0.0886177141033113	0.06753083642572165	0.006504564657386712
343.0	0.12494652040302753	0.12189947210252285	0.07948418108746409	0.13286920130252838	0.1819649313390255	0.20041395649313926
29.0	1.7933633207576348e-05	0.000338630816162241	0.001402158796153059	0.001014217309493688	0.0004419331645075886	0.11352442115545273
70.0	0.005997444812674075	0.002434962788174744	0.0057087443518503275	0.008785913752799388	0.00507773504126817	0.14085236608982085
28.0	0.01656586048193276	0.008496517134772149	0.0027978942313166087	0.01805538861081004	0.014003507122397422	0.006933388200122863
3.0	0.0030470492620952427	0.0063829770454321985	0.0026698404405033215	0.002434380049144238	0.005730020994669758	0.0
3.0	7.319160695968275e-05	0.00035180546272494783	0.0014277868706632723	2.6166221388193022e-05	4.6695510068417435e-07	1.496983880799885e-08
407.0	0.05244445053860545	0.08772940210998058	0.16998505860567092	0.16782291457057	0.12140105567872524	0.056029863134026525
34.0	0.01364214121364057	0.02045441184192896	0.01612255155108869	0.012584624728187919	0.015549807050265372	0.004368709673872218
4.0	0.008744908897206187	0.005778757949592546	0.003486073958920315	0.0	0.0055799174058483916	7.477518595315758e-05
9.0	0.0007020840738914557	0.0007175118604237829	0.0004776199028879446	0.0006468627626106627	0.0006949798915313854	0.026833398547023535
13.0	6.525055295716342e-06	9.272627735986915e-05	0.0006216784173428275	0.0004246386586051898	0.00013354670866647211	0.04492894597351551
18.0	0.004713422479107976	0.0008960427471902221	0.0020920231239142596	0.00502066821034532	0.003220941013423726	0.01958265355788171
6.0	0.0037249419232830406	0.004131107992725447	0.0018532647013759873	0.004023898933082819	0.004507399059948511	0.0
172.0	0.03178372273221612	0.017419244095727135	0.07405874218791723	0.00035580233437940476	0.02600523210130632	0.05762982927262783
330.0	0.20048413470387458	0.18752390570938587	0.18447208762168885	4.9351886846125124e-05	0.1957655780389905	0.1126323015242815
106.0	0.021994201960044205	0.030859749412629752	0.007771768448874354	0.2054218339920044	0.04039739083498716	0.0
63.0	3.726691378687974e-05	0.0025506434770068156	0.010685179254214744	0.05970523934811354	0.005670891386107542	0.0018237579828900403
17.0	9.829707714459346e-11	0.0007022958262768597	0.002810343264445976	0.006717620902491035	0.00020609794154421656	6.06074401776624e-09
