MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G
74.0	0.10946161474101246	0.12409367732703686	0.024454321714583786	0.051764856688678265	0.0537419047115343	0.02958719981019385	0.025292558116998407
133.0	0.006944659763842912	0.0008240162767469883	0.037220386937260624	0.042127851163968444	0.005176763136293623	0.13680222816765308	0.022059427603729444
83.0	0.013874856354668737	0.016112549058161677	0.03373506590723992	0.024702152740210294	0.015901991227874532	0.006618011516402498	0.007101226972436052
201.0	0.11382518053054809	0.1261708951741457	0.08531545240432024	0.0832334104925394	0.1366031415015459	0.06039851706009358	0.05066646734252572
48.0	0.006490363783668727	0.0021139650711310765	0.009931063143885694	0.004401490706004552	0.01754775450681336	0.0038407818037376274	0.012707674719858914
32.0	0.0005581603126462186	0.0012474481198296416	0.012252729878528044	0.0031848382345197024	0.018561851556878537	0.007939407069934533	0.02072061227634549
11.0	0.059165268211218064	0.0006805749784689396	9.8082241602242e-05	0.007610958349541761	0.020914361869735103	0.0003155027861794224	0.001607992155110196
7.0	0.027036818565102295	0.0005765235519538691	0.0025576741312397645	0.00400624095054809	0.00452508784190294	0.0001973014624127245	0.0028225536168611145
4.0	0.009745951504446565	0.0032369596434000413	0.009651199267245829	0.003854725536002661	0.0027398346888367086	0.00014810219214268729	0.00011256130854690127
10.0	0.0009267454914515838	0.005218472726992332	0.01461467302404344	0.004293903472134843	0.002519662076374516	7.63312955677975e-05	0.0032814117103472287
4.0	0.0009225846271510818	0.0014149165453272872	0.001659407327970257	0.00036224839143869756	0.0012482077268396096	0.0011949117406038568	0.0007039850160072092
3.0	0.0005014117879909464	0.0018404233932960779	0.0004489486665079312	0.0009202042291872203	0.002112682906445116	0.00014755771684576757	0.002721617465140298
7.0	0.005655417766188293	0.019354470680864325	0.000839264192036353	0.014993051392393682	0.021052809092216195	2.466799453586077e-05	0.0
4.0	0.0	0.056011229280848056	0.00012807234539650842	0.0011500030604656786	0.00019182488656952046	0.015378216812387109	0.016942006654571743
