MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I
74.0	0.10559090080205351	0.12161473579704761	0.05439766728319228	0.12047310903668404	0.03099222711462062	0.010138494206767063	0.004417213760225432	0.08036822035443038	0.022111065465724097
133.0	0.005373727605910996	0.003342597261071205	0.03563331193756312	0.004173944697249693	0.03521494065411389	0.18195441998541356	0.0011023697577184066	0.03456787005066872	0.023349241913529113
83.0	0.016092529465677217	0.010749363672221079	0.01864476197399199	0.02645229345187545	0.04279909947887063	0.005521185749676079	0.01838040619419189	0.0010880328382154403	0.009614944977220147
201.0	0.10619180023670197	0.124375129789114	0.09205891087651252	0.11770090501755476	0.07367012795060873	0.04044294710503891	0.14880770415067673	0.10478426296263933	0.041228791251778606
48.0	0.00813107350433711	0.0016220767705838563	0.004461121788190243	0.0010809920336809296	0.007858141023025383	0.0025979961807024664	0.038554995346348736	0.0028076191060245038	0.009084122542990371
32.0	0.0015553797532629687	0.001638533515360905	0.0016001341734954622	9.73446996815236e-05	0.00985638767371711	0.0073124022842966955	0.04230396679486148	0.0030192947131581606	0.016718285654787904
11.0	0.052622636895393954	0.0	0.007907203269862002	0.04451429002918303	0.0	0.0003185585953633563	0.001272944630763959	0.02789844287908636	0.0012706019124944135
7.0	0.029598651654087007	0.00036313159037194815	0.004840224455692805	0.00720375905062518	0.0031279946937866044	6.986496973695466e-05	0.0004371237099985592	0.013798983816086548	0.0023566487801144832
4.0	0.011257003075734247	0.0010663264548929875	0.0029363687696240958	0.0030734788747213315	0.012030497728846967	7.467708446711186e-05	0.0009754000994871603	0.010069846494409375	3.375698361196555e-05
10.0	0.0016818141666590236	0.0026306025669055088	0.0022776017516298454	0.0024391673889476804	0.0177949929330498	1.008286140859127e-05	0.004071349919395288	0.0048408920087967995	0.004222735453700856
4.0	0.0008437600112847577	0.0012469456327380613	0.00020954402803909035	0.0021402560418937355	0.001450507202243898	0.0012194386929149914	0.0006028242828142539	0.0012878131940669846	0.0008524462984132697
3.0	0.00037613880198478	0.001358957900556561	0.0009355831531809145	0.0018076127138920129	0.0002789565560306073	1.5430441962962504e-05	0.002591044771979796	0.000712436222620454	0.002697038348997012
7.0	0.0	0.0038908211086527444	0.008791461548135829	0.06124697472900152	0.003254733115318231	5.74856368915988e-05	2.4490938521921634e-05	0.0011407442979952975	7.475043446447672e-09
4.0	0.0	0.07643247094005347	0.0025604948795899607	0.00023725938197458163	0.00017877688442240468	0.002601094637066126	3.110904304776341e-05	0.007322212400322314	0.012591389527729006
4.0	0.0005968238035870855	0.02259603082202375	0.0014938411618376079	0.001073184092347219	0.0	0.023249286089558154	0.0004349650840824637	5.653784784954041e-05	1.7756765009835362e-06
2.0	0.0003819744761676702	0.0002627491395469406	0.00023947886486148207	0.0003233039916813141	0.0005419943463493837	0.00011905130397025233	5.142092115212549e-05	0.0004964314891728349	1.5828701443139082e-05
0.0	0.0007752721173892496	0.0008028250151255634	5.635014002230321e-05	0.00044721477086568485	0.0005531787707332114	1.829676879424369e-05	0.000344909807889735	0.0003201076819275972	9.32856019527506e-05
0.0	0.001824019662453793	0.00032049527466938344	0.00038825297274794226	0.0010209360280714463	9.422143193660304e-07	3.187651684299908e-06	0.0007726418849779293	0.0005951080981321865	0.00027280887919914673
10.0	0.0030893592955544592	0.0003049631081194093	0.005327331217704341	0.0022881131491158157	0.0040744136099237944	0.00018896207843438262	0.000666440783534199	0.00038646974018774927	0.003248906572116539
