NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	384.949	14.884	99.282	12.857	0.032	0.987	40000.0
2	378.969	14.877	100.449	13.046	0.034	0.986	40000.0
3	361.31	14.231	91.226	12.117	0.032	0.989	40000.0
4	383.395	14.829	97.303	12.499	0.032	0.987	30000.0
5	379.385	14.785	99.218	12.741	0.033	0.987	20000.0
6	384.06	14.63	100.193	12.769	0.032	0.987	60000.0
7	385.081	14.847	99.353	12.761	0.032	0.987	60000.0
8	385.539	14.477	100.963	12.524	0.032	0.988	40000.0
9	384.281	14.644	100.278	12.755	0.032	0.988	30000.0
10	383.468	14.395	100.05	12.446	0.031	0.988	40000.0
11	385.943	14.602	100.032	12.601	0.032	0.988	50000.0
12	382.589	14.668	100.006	12.799	0.031	0.987	30000.0
13	376.459	13.683	94.616	11.518	0.029	0.99	30000.0
14	376.586	14.115	95.403	11.926	0.031	0.989	30000.0
15	385.016	14.827	100.346	12.944	0.032	0.986	30000.0
16	384.912	14.568	101.432	12.682	0.031	0.988	50000.0
17	374.26	14.04	95.523	12.017	0.03	0.989	50000.0
18	387.761	14.7	100.296	12.767	0.032	0.987	70000.0
19	382.031	14.59	98.122	12.462	0.032	0.988	70000.0
20	386.398	14.728	101.541	12.87	0.032	0.987	30000.0
21	383.376	14.665	102.16	12.807	0.031	0.987	60000.0
22	383.614	14.33	99.277	12.256	0.031	0.989	30000.0
23	390.479	14.727	101.086	12.755	0.032	0.988	50000.0
24	380.172	14.47	99.32	12.475	0.031	0.988	50000.0
25	381.48	14.415	98.726	12.44	0.032	0.988	50000.0
26	378.872	14.445	98.224	12.398	0.031	0.989	20000.0
27	377.753	14.496	98.124	12.444	0.032	0.988	60000.0
28	376.177	14.284	97.735	12.474	0.031	0.988	30000.0
29	382.821	14.441	98.593	12.369	0.032	0.989	30000.0
30	387.801	14.941	101.56	12.927	0.033	0.987	50000.0
31	390.653	14.862	101.126	12.707	0.032	0.988	60000.0
32	383.42	14.716	97.967	12.621	0.032	0.987	60000.0
33	388.649	14.481	101.582	12.49	0.031	0.989	50000.0
34	383.584	14.549	99.053	12.467	0.032	0.988	70000.0
35	373.145	14.307	96.076	12.256	0.031	0.988	30000.0
36	368.887	13.855	95.333	12.039	0.03	0.989	50000.0
37	382.209	14.441	97.233	12.268	0.032	0.989	70000.0
38	362.921	14.077	93.515	12.044	0.032	0.988	50000.0
39	374.08	14.336	96.476	12.415	0.031	0.988	30000.0
40	383.638	14.433	100.718	12.614	0.031	0.988	70000.0
41	398.48	15.198	105.76	13.476	0.032	0.986	30000.0
42	374.199	14.564	96.243	12.411	0.033	0.987	30000.0
43	377.236	14.222	99.284	12.396	0.031	0.988	50000.0
44	369.735	14.124	97.38	12.354	0.031	0.988	30000.0
